"sdate","id","depth","density","Chl_a_Holm-Hansen_F","Phaeo_Holm-HansenF","Chl_int","Phaeo_int","Chl_int_50m","Phaeo_int_50m","doy","NO2NO3_Tech_F","SiO4_Tech_F","PO4_Tech_F"
"01-Mar-2000",219717,75,25.7618,0.07371,0.1149525,NA,NA,NA,NA,61,9.184,10.3275,0.9295
"01-Mar-2000",219718,100,26.1233,0.3087,0.171675,NA,NA,NA,NA,61,9.316,7.9415,0.8125
"01-Mar-2000",219719,140,26.745,0.03159,0.07371,NA,NA,NA,NA,61,18.4735,17.0975,1.3485
"16-Mar-2000",219969,1,23.9499,0.4725,0.252,38.56005,23.5247625,18.5787,11.212425,76,6.525,7.508,0.6825
"16-Mar-2000",219968,5,24.7984,0.5166,0.278775,NA,NA,NA,NA,76,6.5505,7.6985,0.708
"16-Mar-2000",219967,10,24.7992,0.4788,0.253575,NA,NA,NA,NA,76,6.3805,7.573,0.717
"16-Mar-2000",219966,20,24.8161,0.4914,0.272475,NA,NA,NA,NA,76,5.839,6.626,0.703
"16-Mar-2000",219965,30,25.1972,0.252,0.212625,NA,NA,NA,NA,76,6.733,6.8795,0.7945
"16-Mar-2000",219964,40,25.2839,0.2268,0.16695,NA,NA,NA,NA,76,6.427,6.516,0.7505
"16-Mar-2000",219963,50,25.641,0.3087,0.155925,NA,NA,NA,NA,76,4.756,4.871,0.6535
"16-Mar-2000",219962,75,25.511,0.10881,0.1149525,NA,NA,NA,NA,76,7.3425,8.07,0.8195
"16-Mar-2000",219961,100,25.9487,0.3087,0.155925,NA,NA,NA,NA,76,7.924,7.817,0.9195
"16-Mar-2000",219960,140,26.7827,0.16848,0.121095,NA,NA,NA,NA,76,17.5875,16.5515,1.2205
"07-Apr-2000",228011,1,NA,12.41,2.05,272.266904166667,57.135714,201.252634935897,33.0907151538461,98,0.26706,0.9255,0.432
"07-Apr-2000",228010,5,24.5968,11.0964384615385,1.50792219230769,NA,NA,NA,NA,98,0.13144,0.9295,0.3825
"07-Apr-2000",228009,10,24.5925,11.8264673076923,1.53509196153846,NA,NA,NA,NA,98,0.37432,1.446,0.423
"07-Apr-2000",228008,20,24.9169,0.978340384615385,0.305505576923077,NA,NA,NA,NA,98,3.9035,4.802,0.706
"07-Apr-2000",228007,30,25.334,0.70359358974359,0.221004384615385,NA,NA,NA,NA,98,3.959,4.546,0.6855
"07-Apr-2000",228006,40,25.4921,0.569692307692308,0.208238461538461,NA,NA,NA,NA,98,2.2975,2.565,0.5385
"07-Apr-2000",228005,50,25.7402,0.574778846153846,0.258878269230769,NA,NA,NA,NA,98,2.823,2.5845,0.6185
"07-Apr-2000",228003,75,25.9325,0.656694230769231,0.231934846153846,NA,NA,NA,NA,98,3.514,2.833,0.608
"07-Apr-2000",228002,100,26.2007,1.19277115384615,0.300517730769231,NA,NA,NA,NA,98,10.2215,6.9705,1.042
"07-Apr-2000",228001,140,26.7413,0.432355769230769,0.262191153846154,NA,NA,NA,NA,98,14.877,12.8495,1.2575
"12-Apr-2000",228246,1,22.0767,6.97015,1.238097,260.484841346154,68.8421332692307,190.516740384615,39.2345130769231,103,0.00488500000000008,0.325,0.3515
"12-Apr-2000",228245,10,24.9904,6.62895384615385,1.08390176923077,NA,NA,NA,NA,103,0,0.3775,0.3975
"12-Apr-2000",228244,20,25.2165,5.70285,1.17914,NA,NA,NA,NA,103,0.71995,1.1435,0.4935
"12-Apr-2000",228243,30,25.5526,2.33193461538462,0.650913923076923,NA,NA,NA,NA,103,2.625,2.516,0.6445
"12-Apr-2000",228242,40,25.7767,0.691769230769231,0.291533846153846,NA,NA,NA,NA,103,2.7285,2.0715,0.6295
"12-Apr-2000",228241,50,25.8498,0.422182692307692,0.197826538461538,NA,NA,NA,NA,103,2.503,1.969,0.612
"12-Apr-2000",228240,60,25.8926,0.488307692307692,0.265504038461538,NA,NA,NA,NA,103,2.546,1.8945,0.5665
"12-Apr-2000",228239,70,25.9344,0.529,0.2645575,NA,NA,NA,NA,103,2.711,1.714,0.5925
"12-Apr-2000",228238,80,25.9757,0.701942307692308,0.312830961538461,NA,NA,NA,NA,103,3.853,2.8395,0.674
"12-Apr-2000",228237,100,26.1421,0.871125,0.3404205,NA,NA,NA,NA,103,4.56,2.815,0.6995
"12-Apr-2000",228236,150,26.6385,NA,NA,NA,NA,NA,NA,103,13.435,11.4895,1.2075
"23-Apr-2000",228799,1,22.4025,2.81718,0.458208000000001,134.7057,84.889095,98.46495,30.6677075,114,0.12704,0.732,0.4375
"23-Apr-2000",228798,10,25.368,2.81718,0.386613,NA,NA,NA,NA,NA,0.07178,0.8155,0.4225
"23-Apr-2000",228797,20,25.372,2.6973,0.644355,NA,NA,NA,NA,NA,0.13902,0.9135,0.438
"23-Apr-2000",228796,30,25.409,1.913445,0.81916075,NA,NA,NA,NA,NA,0.50026,1.2085,0.499
"23-Apr-2000",228795,40,25.4384,0.83358,0.742223,NA,NA,NA,NA,NA,2.2175,2.5555,0.6505
"23-Apr-2000",228794,50,25.6575,0.3528,0.49063,NA,NA,NA,NA,NA,3.963,4.0935,0.7515
"23-Apr-2000",228793,60,25.5781,0.4599,0.606515,NA,NA,NA,NA,NA,2.778,2.238,0.697
"23-Apr-2000",228792,70,25.7477,0.3843,0.558355,NA,NA,NA,NA,NA,3.154,2.087,0.7265
"23-Apr-2000",228791,80,25.7792,0.3654,0.58394,NA,NA,NA,NA,NA,3.236,2.141,0.7395
"23-Apr-2000",228790,100,25.7907,0.3591,0.552335,NA,NA,NA,NA,NA,3.3075,2.225,0.7295
"23-Apr-2000",228789,150,26.2335,0.2646,0.48461,NA,NA,NA,NA,NA,9.6945,6.8045,1.038
"02-May-2000",229198,5,24.8441,0.2709,0.0872899999999999,24.563475,15.7446,33.744169375,10.95269125,123,0.0762,0.5795,0.468
"02-May-2000",229197,10,24.8531,0.3087,0.12642,NA,NA,NA,NA,NA,0.10694,0.633,0.4235
"02-May-2000",229196,20,25.3096,0.4851,0.296485,NA,NA,NA,NA,NA,0.26218,1.008,0.498
"02-May-2000",229195,30,25.4042,0.3591,0.161035,NA,NA,NA,NA,NA,-0.03508,1.222,0.499
"02-May-2000",229194,40,25.5186,0.2394,0.35819,NA,NA,NA,NA,NA,NA,NA,NA
"02-May-2000",229193,50,25.6782,0.11232,0.23855325,NA,NA,NA,NA,NA,4.6865,4.077,0.8895
"02-May-2000",229192,60,24.7456,0.078975,0.243165,NA,NA,NA,NA,NA,6.234,5.123,0.975
"02-May-2000",229191,80,25.8761,0.05265,0.23268375,NA,NA,NA,NA,NA,6.365,5.5775,0.965
"02-May-2000",229190,100,26.2071,0.103545,0.23016825,NA,NA,NA,NA,NA,7.03,4.537,0.8775
"02-May-2000",229189,125,26.5476,NA,NA,NA,NA,NA,NA,NA,12.781,10.209,1.2435
"02-May-2000",229188,145,26.6965,NA,NA,NA,NA,NA,NA,NA,14.4825,11.9855,1.3025
"09-May-2000",213341,1,23.6095,0.441,0.158025,54.0873,33.76618,40.0698,15.65028,130,0.4535,1.0985,0.456
"09-May-2000",213342,5,25.1204,0.4284,0.170065,NA,NA,NA,NA,NA,0.295,0.9835,0.4345
"09-May-2000",213343,10,25.1536,0.567,0.2107,NA,NA,NA,NA,NA,0.272,0.915,0.4425
"09-May-2000",213344,20,25.2092,0.7938,0.31003,NA,NA,NA,NA,NA,0.26,1.1395,0.4825
"09-May-2000",213345,30,25.4478,1.193535,0.46615225,NA,NA,NA,NA,NA,0.6765,1.657,0.5285
"09-May-2000",213346,40,25.5386,0.852525,0.33943125,NA,NA,NA,NA,NA,0.2695,1.342,0.446
"09-May-2000",213347,50,25.6667,0.83358,0.3349055,NA,NA,NA,NA,NA,0.314,1.35,0.458
"09-May-2000",213348,75,26.02234,0.05967,0.1484145,NA,NA,NA,NA,NA,8.1675,5.6905,1.0155
"09-May-2000",213349,100,26.4431,0.04212,0.2071095,NA,NA,NA,NA,NA,13.5685,10.936,1.2675
"09-May-2000",213350,140,26.7499,0.036855,0.174408,NA,NA,NA,NA,NA,18.296,15.5175,1.478
"20-May-2000",229211,1,NA,0.804115384615385,0.273084576923077,58.4479759615385,33.7359476923077,37.9966634615385,14.0498201923077,141,1.5085,1.5915,0.64
"20-May-2000",229210,10,25.1788,0.777311538461539,0.281813307692308,NA,NA,NA,NA,NA,2.148,2.251,0.6975
"20-May-2000",229209,20,25.1783,0.790713461538462,0.253133192307692,NA,NA,NA,NA,NA,2.796,2.9105,0.747
"20-May-2000",229208,30,25.195,0.750507692307693,0.258121038461538,NA,NA,NA,NA,NA,4.9045,4.425,0.8755
"20-May-2000",229207,40,25.2552,0.710301923076923,0.295529884615385,NA,NA,NA,NA,NA,7.0855,5.911,0.9985
"20-May-2000",229206,50,25.4798,0.737548076923077,0.359684615384615,NA,NA,NA,NA,NA,8.7165,7.6565,1.0795
"20-May-2000",229205,60,25.6805,0.406923076923077,0.242787115384615,NA,NA,NA,NA,NA,10.3655,9.402,1.1545
"20-May-2000",229204,80,25.9355,0.102836538461538,0.131531807692308,NA,NA,NA,NA,NA,12.7885,11.852,1.305
"20-May-2000",229203,100,25.2446,0.0548461538461539,0.167891230769231,NA,NA,NA,NA,NA,15.001,14.13,1.4205
"20-May-2000",229202,125,26.5765,0.0713,0.1940445,NA,NA,NA,NA,NA,15.4255,14.507,1.4005
"20-May-2000",229201,130,26.6134,NA,NA,NA,NA,NA,NA,NA,15.8225,15.156,1.435
"07-Jun-2000",229936,1,24.7623,0.376403846153846,0.203505769230769,29.9893461538461,23.7364067307692,21.2108653846154,12.2576730769231,159,0.235,2.2395,0.637
"07-Jun-2000",229935,10,24.8525,0.356057692307692,0.197826538461539,NA,NA,NA,NA,NA,4.158,4.716,0.9755
"07-Jun-2000",229934,20,24.9062,0.335711538461538,0.179842307692308,NA,NA,NA,NA,NA,7.066,6.2005,1.156
"07-Jun-2000",229933,30,25.0784,0.457788461538462,0.263137692307692,NA,NA,NA,NA,NA,8.144,7.0765,1.203
"07-Jun-2000",229932,40,25.278,0.630730769230769,0.409851153846154,NA,NA,NA,NA,NA,9.763,8.3205,1.336
"07-Jun-2000",229931,50,25.5193,0.305192307692308,0.146713461538461,NA,NA,NA,NA,NA,10.188,8.7165,1.3305
"07-Jun-2000",229930,60,25.6615,0.0603307692307692,0.0964481538461538,NA,NA,NA,NA,NA,10.9865,9.4805,1.368
"07-Jun-2000",229929,80,25.8514,0.0383923076923077,0.106909461538462,NA,NA,NA,NA,NA,12.821,11.8585,1.474
"07-Jun-2000",229928,100,26.1319,0.0658153846153846,0.121198076923077,NA,NA,NA,NA,NA,14.884,14.412,1.593
"07-Jun-2000",229927,125,26.4919,NA,NA,NA,NA,NA,NA,NA,16.379,15.782,1.6495
"07-Jun-2000",229926,130,26.5725,NA,NA,NA,NA,NA,NA,NA,17.6275,17.0875,1.7315
"14-Jun-2000",210741,1,24.4562,0.4284,0.12285,39.9807,25.97805,29.99925,12.114,166,0.374,1.0845,0.3585
"14-Jun-2000",210742,10,24.3346,0.3276,0.0819000000000001,NA,NA,NA,NA,NA,0.331,1.1195,0.362
"14-Jun-2000",210743,20,24.6234,0.4725,0.181125,NA,NA,NA,NA,NA,0.32,1.0805,0.379
"14-Jun-2000",210744,30,25.0723,1.004085,0.322065,NA,NA,NA,NA,NA,0.553,1.269,0.476
"14-Jun-2000",210745,40,25.3748,0.79569,0.435735,NA,NA,NA,NA,NA,0.8195,1.639,0.4755
"14-Jun-2000",210746,50,25.6287,0.3717,0.2583,NA,NA,NA,NA,NA,4.586,3.878,0.7635
"14-Jun-2000",210747,60,25.7832,0.09477,0.15093,NA,NA,NA,NA,NA,8.7315,7.2785,0.9785
"14-Jun-2000",210748,70,25.8872,0.05616,0.11934,NA,NA,NA,NA,NA,10.264,8.5435,1.0315
"14-Jun-2000",210749,80,25.9095,0.05616,0.128115,NA,NA,NA,NA,NA,9.856,9.011,1.05
"14-Jun-2000",210750,100,26.0661,0.05967,0.1202175,NA,NA,NA,NA,NA,10.7935,9.219,1.035
"29-Jun-2000",215610,1,23.0883,0.2331,0.058275,49.6647,30.362878125,37.0899,15.275475,181,0.0245,0.7225,0.286
"29-Jun-2000",215609,5,23.1153,0.2961,0.058275,NA,NA,NA,NA,NA,0.1155,0.7305,0.3125
"29-Jun-2000",215608,10,24.1078,0.3024,0.0756,NA,NA,NA,NA,NA,0.0835,1.0195,0.3365
"29-Jun-2000",215607,20,24.7366,0.3591,0.137025,NA,NA,NA,NA,NA,0.0975,1.012,0.3445
"29-Jun-2000",215606,30,32.3466,0.83358,0.23207625,NA,NA,NA,NA,NA,0.005,1.176,0.3755
"29-Jun-2000",215605,40,25.4519,1.761885,0.8430525,NA,NA,NA,NA,NA,0.0635,1.754,0.4995
"29-Jun-2000",215604,50,25.6977,0.6489,0.429975,NA,NA,NA,NA,NA,5.1745,4.3445,0.7325
"29-Jun-2000",215603,75,26.0035,0.06318,0.14083875,NA,NA,NA,NA,NA,9.345,8.461,0.967
"29-Jun-2000",215602,100,26.33,0.07722,0.13557375,NA,NA,NA,NA,NA,10.3645,7.1205,0.9685
"29-Jun-2000",215601,140,26.6655,0.01872,0.08928,NA,NA,NA,NA,NA,15.2655,13.478,1.1315
"15-Jul-2000",219988,1,22.9604,0.3339,0.067725,47.52765,30.4056,30.9357,14.7679875,197,0.329,0.5235,0.2995
"15-Jul-2000",219987,5,23.0678,0.3276,0.03465,NA,NA,NA,NA,NA,0.2835,0.4475,0.276
"15-Jul-2000",219986,10,23.2483,0.3591,0.121275,NA,NA,NA,NA,NA,0.341,0.435,0.259
"15-Jul-2000",219985,20,24.7198,0.4221,0.152775,NA,NA,NA,NA,NA,0.3235,0.6395,0.3325
"15-Jul-2000",219984,30,25.0954,0.4158,0.206325,NA,NA,NA,NA,NA,0.389,0.642,0.3135
"15-Jul-2000",219983,40,25.4987,1.307205,0.7293825,NA,NA,NA,NA,NA,0.2525,1.364,0.432
"15-Jul-2000",219982,50,25.6691,0.8631,0.5229,NA,NA,NA,NA,NA,3.189,3.0055,0.643
"15-Jul-2000",219981,75,26.0132,0.16848,0.1430325,NA,NA,NA,NA,NA,8.236,7.351,0.934
"15-Jul-2000",219980,100,26.3617,0.0432,0.1071,NA,NA,NA,NA,NA,11.371,11.3795,1.1955
"15-Jul-2000",219979,140,26.6747,0.00936,0.10224,NA,NA,NA,NA,NA,12.8345,11.2755,1.104
"30-Jul-2000",209485,1,22.6058,1.8945,0.63939375,73.2237525,37.373056875,58.60899,23.03749125,212,0.402,0.748,0.1045
"30-Jul-2000",209484,5,22.6064,1.81872,0.57308625,NA,NA,NA,NA,NA,0.4415,0.911,0.1395
"30-Jul-2000",209483,10,22.6138,1.85661,0.58255875,NA,NA,NA,NA,NA,0.4025,0.754,0.1175
"30-Jul-2000",209482,20,24.2328,0.6867,0.2898,NA,NA,NA,NA,NA,0.3735,0.871,0.3165
"30-Jul-2000",209481,30,24.9951,0.6615,0.291375,NA,NA,NA,NA,NA,0.471,1.1405,0.3945
"30-Jul-2000",209480,40,25.2457,1.307205,0.587295,NA,NA,NA,NA,NA,0.4025,1.6995,0.4565
"30-Jul-2000",209479,50,25.4984,0.852525,0.49730625,NA,NA,NA,NA,NA,2.0445,3.203,0.634
"30-Jul-2000",209478,75,25.9578,0.09828,0.1167075,NA,NA,NA,NA,NA,9.6355,9.071,1.0205
"30-Jul-2000",209477,100,26.3245,0.036,0.0999,NA,NA,NA,NA,NA,11.47,11.552,1.0725
"30-Jul-2000",209476,140,26.666,0.01656,0.09774,NA,NA,NA,NA,NA,14.5735,13.713,1.251
"22-Aug-2000",213351,1,22.0253001593695,0.5481,0.22365,42.26985,25.718259375,37.4409,18.62769375,235,0.4225,1.186,0.1305
"22-Aug-2000",213352,5,22.0374949915315,0.6426,0.28665,NA,NA,NA,NA,NA,0.2535,1.21,0.136
"22-Aug-2000",213353,10,22.042847277356,0.6804,0.303975,NA,NA,NA,NA,NA,0.23,1.157,0.119
"22-Aug-2000",213354,20,24.3353174356421,1.28826,0.62992125,NA,NA,NA,NA,NA,0.2635,0.935,0.291
"22-Aug-2000",213355,30,25.3938940271237,1.079865,0.50677875,NA,NA,NA,NA,NA,0.2515,1.482,0.4115
"22-Aug-2000",213356,40,25.6994846843222,0.3717,0.24255,NA,NA,NA,NA,NA,5.5055,5.306,0.891
"22-Aug-2000",213357,50,25.8976527263139,0.08073,0.11890125,NA,NA,NA,NA,NA,9.056,8.5125,1.0825
"22-Aug-2000",213358,75,26.0468921427221,0.075465,0.05616,NA,NA,NA,NA,NA,10.9885,11.994,1.244
"22-Aug-2000",213359,100,26.3045342065948,0.04752,0.09468,NA,NA,NA,NA,NA,12.1895,13.5525,1.256
"22-Aug-2000",213360,140,26.6170083179359,0.01944,0.05616,NA,NA,NA,NA,NA,17.033,15.8485,1.412
"12-Sep-2000",213361,1,NA,0.4284,0.15435,50.6093625,30.658528125,42.25995,19.3186125,256,0.4035,1.0585,0.253
"12-Sep-2000",213362,5,NA,0.4725,0.165375,NA,NA,NA,NA,NA,0.223,0.975,0.225
"12-Sep-2000",213363,10,NA,0.4977,0.329175,NA,NA,NA,NA,NA,0.245,1.813,0.229
"12-Sep-2000",213364,20,NA,1.0206,0.34965,NA,NA,NA,NA,NA,0.2555,2.5125,0.3615
"12-Sep-2000",213365,30,NA,1.5156,0.7104375,NA,NA,NA,NA,NA,0.435,2.243,0.478
"12-Sep-2000",213366,40,NA,0.852525,0.40258125,NA,NA,NA,NA,NA,1.8665,2.9015,0.6255
"12-Sep-2000",213367,50,NA,0.2457,0.203175,NA,NA,NA,NA,NA,6.0445,5.8825,0.862
"12-Sep-2000",213368,75,NA,0.082485,0.13469625,NA,NA,NA,NA,NA,9.8985,10.869,1.102
"12-Sep-2000",213369,100,NA,0.071955,0.11451375,NA,NA,NA,NA,NA,11.2915,12.0975,1.1325
"12-Sep-2000",213370,140,NA,0.043875,0.08555625,NA,NA,NA,NA,NA,15.008,15.795,1.3285
"30-Sep-2000",232248,1,22.6947,0.544259615384615,0.201139423076923,56.8536778846154,33.1977068269231,44.4855384615385,20.1555076923077,274,0.3825,0.539,0.345
"30-Sep-2000",232246,10,22.7206,0.539173076923077,0.187414615384615,NA,NA,NA,NA,NA,0.3905,0.6105,0.353
"30-Sep-2000",232245,20,22.7212,1.87626923076923,0.718249846153845,NA,NA,NA,NA,NA,0.935,1.779,0.637
"30-Sep-2000",232243,30,22.728,0.964938461538462,0.528711692307692,NA,NA,NA,NA,NA,1.0205,1.605,0.637
"30-Sep-2000",232242,40,24.3142,0.600211538461538,0.333654807692308,NA,NA,NA,NA,NA,2.697,2.6345,0.713
"30-Sep-2000",232241,50,24.9883,0.391663461538462,0.293900192307692,NA,NA,NA,NA,NA,3.142,3.241,0.738
"30-Sep-2000",232240,60,25.4007,0.233980769230769,0.219123653846154,NA,NA,NA,NA,NA,5.5105,4.3755,0.8265
"30-Sep-2000",232239,80,25.8898,0.126146153846154,0.118136230769231,NA,NA,NA,NA,NA,8.211,6.65,0.9245
"30-Sep-2000",232238,100,26.2836,0.0287942307692308,0.0743773461538462,NA,NA,NA,NA,NA,11.9985,11.601,1.133
"30-Sep-2000",232237,140,26.7058,NA,NA,NA,NA,NA,NA,NA,15.5855,14.294,1.274
"07-Oct-2000",232466,1,22.207,NA,NA,NA,NA,NA,NA,281,0.3015,1.0975,0.2225
"07-Oct-2000",232465,10,22.2107,NA,NA,NA,NA,NA,NA,NA,0.284,1.0535,0.241
"07-Oct-2000",232464,20,22.5993,NA,NA,NA,NA,NA,NA,NA,0.2855,0.9065,0.233
"07-Oct-2000",232463,30,23.9481,NA,NA,NA,NA,NA,NA,NA,0.798,2.206,0.5265
"07-Oct-2000",232462,40,24.7547,NA,NA,NA,NA,NA,NA,NA,1.731,2.81,0.638
"07-Oct-2000",232461,50,25.2713,NA,NA,NA,NA,NA,NA,NA,5.946,5.259,0.89
"07-Oct-2000",232460,60,25.6806,NA,NA,NA,NA,NA,NA,NA,9.355,8.719,1.093
"07-Oct-2000",232459,80,26.0153,NA,NA,NA,NA,NA,NA,NA,11.687,12.2215,1.2265
"07-Oct-2000",232458,100,26.2653,NA,NA,NA,NA,NA,NA,NA,13.28,13.737,1.2785
"07-Oct-2000",232457,150,26.6794,NA,NA,NA,NA,NA,NA,NA,16.7625,16.2055,1.3625
"17-Oct-2000",232888,1,23.8511,2.33963076923077,0.888890153846154,43.0365384615385,25.4608351923077,39.5546923076923,18.4512034615385,290,1.8045,3.348,0.607
"17-Oct-2000",232887,10,23.835,2.13090576923077,0.854168653846154,NA,NA,NA,NA,NA,2.09,3.6255,0.632
"17-Oct-2000",232886,20,24.4747,0.376403846153846,0.246573269230769,NA,NA,NA,NA,NA,5.5945,5.3925,0.9195
"17-Oct-2000",232885,30,25.0788,0.126146153846154,0.109843730769231,NA,NA,NA,NA,NA,6.234,5.4225,0.9625
"17-Oct-2000",232884,40,25.6437,0.0987230769230769,0.120432615384615,NA,NA,NA,NA,NA,7.8955,6.9585,1.067
"17-Oct-2000",232883,50,25.8872,0.10695,0.139314,NA,NA,NA,NA,NA,9.0985,8.314,1.136
"17-Oct-2000",232882,60,26.0484,0.053475,0.0879005,NA,NA,NA,NA,NA,10.158,10.4155,1.1675
"17-Oct-2000",232881,80,26.3883,0.0246807692307692,0.0748876538461538,NA,NA,NA,NA,NA,13.499,13.4285,1.316
"17-Oct-2000",232880,100,26.6553,0.0169846153846154,0.0490389230769231,NA,NA,NA,NA,NA,14.1285,13.13,1.303
"17-Oct-2000",232879,140,26.7979,NA,NA,NA,NA,NA,NA,NA,17.796,15.3195,1.455
"25-Oct-2000",213371,1,NA,1.496655,0.87147,65.463615,44.924956875,56.92374,33.1452225,299,0.4475,2.484,0.294
"25-Oct-2000",213372,5,22.851814851123,1.610325,0.82884375,NA,NA,NA,NA,NA,0.405,2.442,0.289
"25-Oct-2000",213373,10,22.8415389255666,1.496655,0.84778875,NA,NA,NA,NA,NA,0.395,2.4905,0.2995
"25-Oct-2000",213374,20,22.8458074024547,1.47771,0.81937125,NA,NA,NA,NA,NA,0.3735,2.4805,0.2875
"25-Oct-2000",213376,30,22.9247662278497,1.40193,0.80042625,NA,NA,NA,NA,NA,0.385,2.397,0.4395
"25-Oct-2000",213375,40,24.4911312568111,0.315,0.26775,NA,NA,NA,NA,NA,3.5505,4.3835,0.6685
"25-Oct-2000",213377,50,25.1182817046977,0.4032,0.313425,NA,NA,NA,NA,NA,3.7715,4.8985,0.667
"25-Oct-2000",213378,75,25.8214943035648,0.068445,0.13557375,NA,NA,NA,NA,NA,7.7685,7.7175,0.9495
"25-Oct-2000",213379,100,25.9999673278473,0.0351,0.08555625,NA,NA,NA,NA,NA,11.072,11.57,1.14
"25-Oct-2000",213380,140,26.2280239732884,0.0324,0.0846,NA,NA,NA,NA,NA,12.0235,14.159,1.215
"22-Nov-2000",230676,1,23.1843,1.231425,0.54466875,43.608195,28.359264375,35.91297,18.273020625,327,1.168,2.416,0.404
"22-Nov-2000",230675,5,23.1847,1.09881,0.48783375,NA,NA,NA,NA,NA,1.189,2.441,0.416
"22-Nov-2000",230674,10,23.1842,1.1367,0.473625,NA,NA,NA,NA,NA,1.156,2.4665,0.4035
