"sdate","stime","vessel","id","depth","Chl_a_Holm-Hansen_F","Phaeo_Holm-HansenF","Chl_int","Phaeo_int","Chl_int_50m","Phaeo_int_50m","j_day","O2_Electrode","o2_ml","o2_um","NO3_Tech_F","SiO4_Tech_F","PO4_Tech_F","NH3_Tech_F","NO2_Tech_F"
"13-Mar-2008","14:27","Pandalus",239810,1,0.299438507462687,0.180478317910448,22.0060881940299,22.6260857856716,11.9000385671642,10.688143181194,74,NA,NA,NA,9.3675,11.119,0.9115,0.5055,0.173
"13-Mar-2008","14:27","Pandalus",239809,10,0.234266597014925,0.214229659502488,NA,NA,NA,NA,NA,NA,NA,NA,9.4165,10.4915,0.9145,0.405,0.1695
"13-Mar-2008","14:27","Pandalus",239808,25,0.228982388059702,0.214781264676617,NA,NA,NA,NA,NA,NA,NA,NA,9.4845,10.436,0.9205,0.3195,0.168
"13-Mar-2008","14:27","Pandalus",239807,50,0.228982388059701,0.22633049800995,NA,NA,NA,NA,NA,NA,NA,NA,9.464,10.225,0.92,0.3435,0.167
"13-Mar-2008","14:27","Pandalus",239806,95,0.220175373134328,0.304244728855721,NA,NA,NA,NA,NA,NA,NA,NA,9.162,8.7795,0.913,0.309,0.1505
"23-Apr-2008","13:17","Pandalus",239815,1,0.206192417910448,0.124378212089552,25.3262312462687,18.8769814437313,14.9192384104478,9.50743210455223,114,"94.4",6.985,312,9.6825,9.7335,0.912,0.711,0.2035
"23-Apr-2008","13:17","Pandalus",239814,10,0.325859552238806,0.217004847761194,NA,NA,NA,NA,NA,NA,NA,NA,9.521,9.6185,0.9415,0.5455,0.1885
"23-Apr-2008","13:17","Pandalus",239813,25,0.325859552238806,0.187501347761194,NA,NA,NA,NA,NA,NA,NA,NA,9.5375,9.455,0.957,0.402,0.1875
"23-Apr-2008","13:17","Pandalus",239812,50,0.26861395522388,0.197541344776119,NA,NA,NA,NA,NA,NA,NA,NA,9.544,9.397,0.9565,0.452,0.1875
"23-Apr-2008","13:17","Pandalus",239811,95,0.193919059701493,0.218883070298507,NA,NA,NA,NA,NA,NA,NA,NA,9.733,8.255,0.955,0.278,0.185
"14-May-2008","12:59","Pandalus",239820,1,1.10528037313433,0.293185526865672,59.808438358209,31.920893491791,41.2806807089552,15.3984931410448,135,"97.7",7.043,315,8.6765,10.0925,0.832,1.327,0.256
"14-May-2008","12:59","Pandalus",239819,10,1.02161373134328,0.311944468656716,NA,NA,NA,NA,NA,NA,NA,NA,8.856,9.5245,0.858,0.5715,0.237
"14-May-2008","12:59","Pandalus",239818,25,0.849876940298507,0.283057459701492,NA,NA,NA,NA,NA,NA,NA,NA,8.9285,9.382,0.871,0.491,0.243
"14-May-2008","12:59","Pandalus",239817,50,0.475578805970149,0.350519194029851,NA,NA,NA,NA,NA,NA,NA,NA,9.2215,8.2965,0.933,0.4985,0.249
"14-May-2008","12:59","Pandalus",239816,95,0.347877089552239,0.383809710447761,NA,NA,NA,NA,NA,NA,NA,NA,8.958,7.39,0.955,0.6615,0.2485
"16-Jun-2008","14:02","Vector",239825,1,3.09764776119403,0.793772238805969,496.127076492537,135.234466007463,325.858024253731,80.3089382462686,168,NA,NA,NA,0.634,1.997,0.321,0.6445,0.0835
"16-Jun-2008","14:02","Vector",239824,10,7.21171119402985,1.86826880597015,NA,NA,NA,NA,NA,NA,NA,NA,1.1545,2.1635,0.4655,0.5305,0.1155
"16-Jun-2008","14:02","Vector",239823,25,7.21171119402985,1.67369780597015,NA,NA,NA,NA,NA,NA,NA,NA,1.7375,1.8195,0.49,0.7095,0.1375
"16-Jun-2008","14:02","Vector",239822,50,6.24369626865672,1.60400073134328,NA,NA,NA,NA,NA,NA,NA,NA,2.209,1.8665,0.475,0.7275,0.1485
"16-Jun-2008","14:02","Vector",239821,95,1.3238171641791,0.837133835820895,NA,NA,NA,NA,NA,NA,NA,NA,4.7515,3.701,0.6735,1.308,0.2075
"14-Jul-2008","13:29","Pandalus",239830,1,2.73187723880597,0.928838261194029,116.857271641791,63.2358558582089,80.8491246268657,37.4871323731343,196,NA,NA,NA,3.6795,3.0795,0.6595,1.6205,0.217
"14-Jul-2008","13:29","Pandalus",239829,10,1.57654589552239,0.777923104477612,NA,NA,NA,NA,NA,NA,NA,NA,4.0445,3.272,0.6315,0.7215,0.222
"14-Jul-2008","13:29","Pandalus",239828,25,1.54044179104478,0.717268208955224,NA,NA,NA,NA,NA,NA,NA,NA,4.0215,3.319,0.609,0.8095,0.2285
"14-Jul-2008","13:29","Pandalus",239827,50,1.28771305970149,0.695846440298507,NA,NA,NA,NA,NA,NA,NA,NA,4.371,3.426,0.647,0.786,0.2255
"14-Jul-2008","13:29","Pandalus",239826,95,0.312649029850746,0.448541270149254,NA,NA,NA,NA,NA,NA,NA,NA,6.47,5.212,0.788,0.7365,0.229
"13-Aug-2008","13:05","Pandalus",239835,1,8.95413805970149,1.87698094029851,304.883424067164,101.752961932836,261.86817761194,70.6210378880596,226,NA,NA,NA,1.2395,1.677,0.455,0.811,0.1115
"13-Aug-2008","13:05","Pandalus",239834,10,7.11490970149254,1.90021329850746,NA,NA,NA,NA,NA,NA,NA,NA,1.86,2.388,0.531,0.64,0.1315
"13-Aug-2008","13:05","Pandalus",239833,25,5.32408208955224,1.42104591044776,NA,NA,NA,NA,NA,NA,NA,NA,2.59,3.1595,0.565,0.936,0.158
"13-Aug-2008","13:05","Pandalus",239832,50,1.66078880597015,0.72593319402985,NA,NA,NA,NA,NA,NA,NA,NA,4.3805,4.997,0.689,1.3185,0.1845
"13-Aug-2008","13:05","Pandalus",239831,95,0.250999925373134,0.657707874626865,NA,NA,NA,NA,NA,NA,NA,NA,8.9325,7.8455,0.9335,0.3945,0.1465
"16-Sep-2008","13:38","Pandalus",239840,1,1.38399067164179,0.567315828358208,95.5134083955224,53.8824876044776,59.7703449626866,26.8531497873134,260,NA,NA,NA,4.255,4.1325,0.735,1.489,0.266
"16-Sep-2008","13:38","Pandalus",239839,10,1.28771305970149,0.534581440298507,NA,NA,NA,NA,NA,NA,NA,NA,4.3185,4.2015,0.6825,1.208,0.2555
"16-Sep-2008","13:38","Pandalus",239838,25,1.14329664179104,0.549985858208955,NA,NA,NA,NA,NA,NA,NA,NA,4.4955,4.389,0.6895,1.2555,0.253
"16-Sep-2008","13:38","Pandalus",239837,50,1.10719253731343,0.505457462686567,NA,NA,NA,NA,NA,NA,NA,NA,4.732,4.5595,0.749,1.382,0.2595
"16-Sep-2008","13:38","Pandalus",239836,95,0.481388059701493,0.695846440298507,NA,NA,NA,NA,NA,NA,NA,NA,7.495,6.6425,0.8275,0.9495,0.2485
"16-Sep-2008","13:26","Pandalus",239845,1,1.21550485074627,0.477777649253731,71.7493011940298,39.1797072559701,48.1685187313433,24.3911879686567,288,NA,NA,NA,7.9685,8.3355,0.9125,2.08,0.377
"16-Sep-2008","13:26","Pandalus",239844,10,1.07445582089552,0.565938779104477,NA,NA,NA,NA,NA,NA,NA,NA,7.6515,8.1375,0.8245,0.609,0.371
"16-Sep-2008","13:26","Pandalus",239843,25,0.986385671641791,0.494690028358209,NA,NA,NA,NA,NA,NA,NA,NA,7.7275,8.196,0.8525,0.688,0.379
"16-Sep-2008","13:26","Pandalus",239842,50,0.708964701492537,0.406267598507462,NA,NA,NA,NA,NA,NA,NA,NA,8.1495,8.435,0.864,0.655,0.365
"16-Sep-2008","13:26","Pandalus",239841,95,0.339070074626866,0.250999925373134,NA,NA,NA,NA,NA,NA,NA,NA,8.835,8.486,0.902,0.6335,0.265
"18-Nov-2008","14:30","Pandalus",239850,1,0.585666492537314,0.570870707462686,27.9997022014925,33.2377623985074,16.2093109701493,17.2801118798507,323,"no sample",NA,NA,9.7895,10.523,1.031,0.4805,0.2995
"18-Nov-2008","14:30","Pandalus",239849,10,0.312649029850746,0.306924470149254,NA,NA,NA,NA,NA,NA,NA,NA,9.794,10.1,1.0045,0.445,0.285
"18-Nov-2008","14:30","Pandalus",239848,25,0.277420970149254,0.312649029850746,NA,NA,NA,NA,NA,NA,NA,NA,9.6525,9.609,1.001,0.4515,0.2415
"18-Nov-2008","14:30","Pandalus",239847,50,0.295035,0.3363399,NA,NA,NA,NA,NA,NA,NA,NA,9.657,9.3245,0.999,0.405,0.202
"18-Nov-2008","14:30","Pandalus",239846,95,0.228982388059701,0.372889011940298,NA,NA,NA,NA,NA,NA,NA,NA,9.5155,8.542,0.972,0.4805,0.124
"15-Dec-2008","14:16","Pandalus",239855,1,0.198828402985075,0.207395207014925,16.5741460746269,30.6448038203731,9.1135821380597,11.5947765069403,350,"no sample",NA,NA,10.514,10.899,0.988,0.4605,0.1915
"15-Dec-2008","14:16","Pandalus",239854,10,0.185327708955224,0.224185161044776,NA,NA,NA,NA,NA,NA,NA,NA,10.534,10.947,0.996,0.342,0.182
"15-Dec-2008","14:16","Pandalus",239853,25,0.181645701492537,0.239379578507463,NA,NA,NA,NA,NA,NA,NA,NA,10.6755,11.073,0.9955,0.2905,0.1845
"15-Dec-2008","14:16","Pandalus",239852,50,0.173054350746269,0.238103149253731,NA,NA,NA,NA,NA,NA,NA,NA,10.69,10.929,1.0045,0.257,0.1735
"15-Dec-2008","14:16","Pandalus",239851,95,0.158526268656716,0.608564731343283,NA,NA,NA,NA,NA,NA,NA,NA,10.7045,10.1325,1.02,0.2075,0.1225
