"sdate","stime","vessel","id","depth","Chl_a_Holm_Hansen_F","Phaeo_Holm_HansenF","Chl_int","Phaeo_int","Chl_int_50m","Phaeo_int_50m","doy","O2_Electrode","o2_ml","o2_um","NO2NO3_Tech_F","SiO4_Tech_F","PO4_Tech_F","NH3_Tech_F","NO2_Tech_F","Salinity_Sal_PSS"
"15-Jun-2005","10:09","Opilio",260777,20,0.29060825984252,0.41544346015748,NA,NA,NA,NA,NA,91.7681809625932,7.052,314.5,3.6985,5.1685,0.5885,"2.2810000000000001","0.14449999999999999",29.789
"15-Jun-2005","10:09","Opilio",260776,30,0.186368340551181,0.194739121948819,NA,NA,NA,NA,NA,NA,NA,NA,3.0505,4.127,0.6415,"2.1665000000000001","0.13200000000000001",NA
"15-Jun-2005","10:09","Opilio",260775,40,0.195844696850394,0.221367683149606,NA,NA,NA,NA,NA,NA,NA,NA,2.6165,3.293,0.653,"3.153","0.11799999999999999",NA
"15-Jun-2005","10:09","Opilio",260774,50,0.0758108503937008,0.156865284606299,NA,NA,NA,NA,NA,85.0231717271871,7.059,315.5,5.417,7.161,0.9415,"3.3174999999999999","0.125",31.036
"15-Jun-2005","10:09","Opilio",260773,60,0.047381781496063,0.289597448503937,NA,NA,NA,NA,NA,NA,NA,NA,7.706,11.38,1.153,"4.1210000000000004","0.1145",NA
"15-Jun-2005","10:09","Opilio",260772,70,0.0536993523622047,0.307349822637795,NA,NA,NA,NA,NA,NA,NA,NA,9.4135,15.163,1.273,"4.2164999999999999","0.122",NA
"15-Jun-2005","10:09","Opilio",260771,80,0.0726520649606299,0.34054865753937,NA,NA,NA,NA,NA,69.7591994235883,5.7215,256,9.873,17.217,1.3845,"4.0854999999999997","0.1285",31.986
"16-Sep-2005","19:47","Teleost",287424,1,1.149,0.317,34.6935,22.0455,31.8485,15.4705,259,99.2228026336415,5.726,255.5,0.037,0.8965,0.1445,"nan","nan",27.814
"16-Sep-2005","19:47","Teleost",287423,5,1.232,0.316,NA,NA,NA,NA,NA,NA,NA,NA,0.085,1.058,0.1685,"nan","nan",NA
"16-Sep-2005","19:47","Teleost",287422,10,1.199,0.267,NA,NA,NA,NA,NA,NA,NA,NA,5e-04,0.8765,0.131,"nan","nan",NA
"16-Sep-2005","19:47","Teleost",287421,20,0.868,0.443,NA,NA,NA,NA,NA,90.3871542595502,5.3475,239,0.421,1.953,0.3195,"nan","nan",28.104
"16-Sep-2005","19:47","Teleost",287420,30,0.301,0.351,NA,NA,NA,NA,NA,NA,NA,NA,4.597,8.466,0.9485,"nan","nan",NA
"16-Sep-2005","19:47","Teleost",287419,40,0.15,0.227,NA,NA,NA,NA,NA,NA,NA,NA,8.379,13.6765,1.1665,"nan","nan",NA
"16-Sep-2005","19:47","Teleost",287418,50,0.135,0.177,NA,NA,NA,NA,NA,75.4136713996389,6.1155,273,9.2465,13.713,1.175,"nan","nan",31.711
"16-Sep-2005","19:47","Teleost",287417,60,0.115,0.17,NA,NA,NA,NA,NA,NA,NA,NA,9.7345,14.29,1.4065,"nan","nan",NA
"16-Sep-2005","19:47","Teleost",287416,70,0.052,0.178,NA,NA,NA,NA,NA,NA,NA,NA,12.685,20.818,1.389,"nan","nan",NA
"16-Sep-2005","19:47","Teleost",287415,80,0.1,0.442,NA,NA,NA,NA,NA,61.9796401910668,5.049,225.5,13.532,26.089,1.628,"nan","nan",32.207
"05-Oct-2005","15:09","Cape Breton",260790,1,2.00331870967742,0.745497290322581,47.2226774193548,28.0106233806452,45.3567958064516,21.7838133935484,278,104.083715276648,6.6525,297,0.192,0.731,0.239,"0.35699999999999998","7.9500000000000001E-2",NA
"05-Oct-2005","15:09","Cape Breton",260789,5,1.78985032258065,0.633180077419355,NA,NA,NA,NA,NA,NA,NA,NA,0.1775,0.705,0.223,"1.3965000000000001","7.4999999999999997E-2",NA
"05-Oct-2005","15:09","Cape Breton",260788,10,1.54354064516129,0.65551215483871,NA,NA,NA,NA,NA,NA,NA,NA,0.154,0.671,0.2215,"1.0489999999999999","6.5000000000000002E-2",NA
"05-Oct-2005","15:09","Cape Breton",260787,20,1.54354064516129,0.61478895483871,NA,NA,NA,NA,NA,101.998550260508,6.5175,291.5,0.3185,0.6065,0.194,"0.79949999999999999","7.4999999999999997E-2",NA
"05-Oct-2005","15:09","Cape Breton",260786,30,0.194186774193548,0.235050425806452,NA,NA,NA,NA,NA,NA,NA,NA,3.4215,4.3095,0.6285,"2.9649999999999999","0.14249999999999999",NA
"05-Oct-2005","15:09","Cape Breton",260785,40,0.190809612903226,0.213301507096774,NA,NA,NA,NA,NA,NA,NA,NA,4.4755,6.2605,0.7955,"3.0460000000000003","0.1605",NA
"05-Oct-2005","15:09","Cape Breton",260784,50,0.0861176129032259,0.230052227096774,NA,NA,NA,NA,NA,83.2185209879719,6.6025,294.5,6.6145,8.7235,0.938,"2.6414999999999997","0.13350000000000001",NA
"05-Oct-2005","15:09","Cape Breton",260783,60,0.0607889032258065,0.215597976774194,NA,NA,NA,NA,NA,NA,NA,NA,9.8045,12.5825,1.1935,"0.62350000000000005","0.1045",NA
"05-Oct-2005","15:09","Cape Breton",260782,70,0.0540345806451613,0.155349419354839,NA,NA,NA,NA,NA,NA,NA,NA,11.7855,18.7575,1.259,"0.36499999999999999","6.8500000000000005E-2",NA
"05-Oct-2005","15:09","Cape Breton",260781,80,0.0574117419354839,0.273414978064516,NA,NA,NA,NA,NA,64.1603877394845,5.2285,233.5,13.5135,24.9165,1.525,"0.76749999999999996","0.1",NA
