"sdate","stime","vessel","id","depth","Chl_a_Holm-Hansen_F","Phaeo_Holm-HansenF","Chl_int","Phaeo_int","Chl_int_50m","Phaeo_int_50m","j_day","o2_ml","o2_um","NO3_Tech_F","SiO4_Tech_F","PO4_Tech_F","NH3_Tech_F","NO2_Tech_F"
"26-Feb-2002","16:11","Pandalus",46349,1,0.557,0.25,27.0335,18.2175,15.6035,9.9825,57,NA,NA,5.0365,4.5595,0.637,0.921,0.0755
"26-Feb-2002","16:11","Pandalus",46350,10,0.245,0.17,NA,NA,NA,NA,NA,NA,NA,7.63,7.0315,0.776,0.442,0.1185
"26-Feb-2002","16:11","Pandalus",46351,25,0.3,0.189,NA,NA,NA,NA,NA,NA,NA,8.167,7.618,0.8475,0.3095,0.1275
"26-Feb-2002","16:11","Pandalus",46352,50,0.288,0.223,NA,NA,NA,NA,NA,NA,NA,8.766,8.025,0.862,0.422,0.1365
"26-Feb-2002","16:11","Pandalus",46353,95,0.22,0.143,NA,NA,NA,NA,NA,NA,NA,7.9615,7.3565,0.8265,0.212,0.121
"13-Mar-2002","14:17","Pandalus",46357,1,0.367,0.21,26.06,19.3665,14.54,9.669,72,NA,NA,8.2285,7.523,0.82,0.516,0.178
"13-Mar-2002","14:17","Pandalus",46358,10,0.302,0.192,NA,NA,NA,NA,NA,NA,NA,8.7605,8.2555,0.8905,0.2205,0.1565
"13-Mar-2002","14:17","Pandalus",46359,25,0.288,0.208,NA,NA,NA,NA,NA,NA,NA,8.241,7.557,0.8295,0.21,0.146
"13-Mar-2002","14:17","Pandalus",46360,50,0.251,0.164,NA,NA,NA,NA,NA,NA,NA,6.673,5.9425,0.702,0.3675,0.1375
"13-Mar-2002","14:17","Pandalus",46361,95,0.261,0.267,NA,NA,NA,NA,NA,NA,NA,7.912,7.0635,0.8075,0.1685,0.148
"15-Apr-2002","13:17","Pandalus",46362,1,2.234,0.872,36.4245,25.442,24.8595,16.0145,105,NA,NA,8.9725,8.6585,0.8645,0.5865,0.212
"15-Apr-2002","13:17","Pandalus",46363,10,0.3,0.263,NA,NA,NA,NA,NA,NA,NA,7.395,7.3315,0.7575,0.396,0.186
"15-Apr-2002","13:17","Pandalus",46364,25,0.273,0.255,NA,NA,NA,NA,NA,NA,NA,8.338,8.2575,0.8365,0.5,0.203
"15-Apr-2002","13:17","Pandalus",46365,50,0.281,0.237,NA,NA,NA,NA,NA,NA,NA,6.3185,6.299,0.727,0.3375,0.1535
"15-Apr-2002","13:17","Pandalus",46366,95,0.233,0.182,NA,NA,NA,NA,NA,NA,NA,8.2695,7.5575,0.828,0.252,0.1935
"02-May-2002","13:03","Pandalus",46370,1,0.398,0.239,30.017,22.0675,18.047,11.875,122,NA,359.4,8.4445,8.1305,0.774,0.717,0.216
"02-May-2002","13:03","Pandalus",46371,10,0.434,0.239,NA,NA,NA,NA,NA,NA,NA,7.8845,7.605,0.8015,0.6235,0.228
"02-May-2002","13:03","Pandalus",46372,25,0.33,0.254,NA,NA,NA,NA,NA,NA,NA,9.2285,8.6455,0.8975,0.323,0.2305
"02-May-2002","13:03","Pandalus",46373,50,0.324,0.209,NA,NA,NA,NA,NA,NA,NA,9.316,8.7585,0.92,0.2945,0.23
"02-May-2002","13:03","Pandalus",46374,95,0.208,0.244,NA,NA,NA,NA,NA,NA,NA,8.2575,6.6695,0.8875,0.3175,0.2235
"17-May-2001","12:41","Pandalus",46378,1,1.283,0.399,90.404,37.4145,60.029,20.6745,137,NA,337.5,9.0865,7.7445,0.8495,2.4735,0.287
"17-May-2001","12:41","Pandalus",46379,10,1.105,0.405,NA,NA,NA,NA,NA,NA,NA,8.436,7.468,0.8525,0.501,0.2265
"17-May-2001","12:41","Pandalus",46380,25,1.295,0.401,NA,NA,NA,NA,NA,NA,NA,7.7535,6.813,0.8085,0.524,0.2185
"17-May-2001","12:41","Pandalus",46381,50,1.105,0.448,NA,NA,NA,NA,NA,NA,NA,8.1495,7.1815,0.863,0.602,0.2195
"17-May-2001","12:41","Pandalus",46382,95,0.245,0.296,NA,NA,NA,NA,NA,NA,NA,9.7235,7.9785,0.949,0.4615,0.229
"30-May-2002","13:03","Pandalus",46386,1,1.818,0.54,90.575,41.84,58.1525,24.83,150,NA,321.9,7.272,5.171,0.7505,1.166,0.2745
"30-May-2002","13:03","Pandalus",46387,10,1.283,0.55,NA,NA,NA,NA,NA,NA,NA,5.8935,4.6185,0.6775,0.8055,0.2005
"30-May-2002","13:03","Pandalus",46388,25,1.051,0.523,NA,NA,NA,NA,NA,NA,NA,7.4165,5.8685,0.7975,0.5495,0.2225
"30-May-2002","13:03","Pandalus",46389,50,0.939,0.384,NA,NA,NA,NA,NA,NA,NA,7.414,5.9755,0.8,1.1705,0.2405
"30-May-2002","13:03","Pandalus",46390,95,0.502,0.372,NA,NA,NA,NA,NA,NA,NA,7.4655,5.8005,0.8145,0.395,0.193
"14-Jun-2002","13:15","Pandalus",22118,1,5.103,1.026,312.464,82.113,216.164,48.273,165,NA,343.8,3.1625,1.759,0.502,2.3695,0.1715
"14-Jun-2002","13:15","Pandalus",22119,10,4.84,0.88,NA,NA,NA,NA,NA,NA,NA,3.943,2.564,0.5995,0.773,0.1895
"14-Jun-2002","13:15","Pandalus",22120,25,4.109,0.931,NA,NA,NA,NA,NA,NA,NA,4.0495,3.038,0.6945,0.8385,0.1825
"14-Jun-2002","13:15","Pandalus",22121,50,3.827,1.076,NA,NA,NA,NA,NA,NA,NA,4.4345,2.9075,0.6815,0.871,0.186
"14-Jun-2002","13:15","Pandalus",22122,95,0.453,0.428,NA,NA,NA,NA,NA,NA,NA,7.7505,5.325,0.8705,0.7405,0.208
"28-Jun-2002","13:32","Pandalus",29137,1,2.533,0.532,118.4915,56.132,82.4015,27.242,179,NA,312.5,4.8285,2.9045,0.6595,1.0935,0.2265
"28-Jun-2002","13:32","Pandalus",29138,10,2.305,0.628,NA,NA,NA,NA,NA,NA,NA,4.27,2.5975,0.594,0.838,0.173
"28-Jun-2002","13:32","Pandalus",29139,25,1.283,0.464,NA,NA,NA,NA,NA,NA,NA,5.212,3.401,0.7455,0.912,0.175
"28-Jun-2002","13:32","Pandalus",29140,50,1.212,0.6,NA,NA,NA,NA,NA,NA,NA,6.4255,4.302,0.802,0.826,0.195
"28-Jun-2002","13:32","Pandalus",29141,95,0.392,0.684,NA,NA,NA,NA,NA,NA,NA,8.8275,6.2505,0.9275,0.577,0.179
"18-Jul-2002","12:50","Pandalus",234601,1,3.15178876033058,1.00238138966942,172.981877975207,65.8131801497934,118.698615991736,37.7637761332644,199,NA,NA,4.9965,5.505,0.7885,4.24,0.2165
"18-Jul-2002","12:50","Pandalus",234602,10,2.51392674931129,0.845729984022038,NA,NA,NA,NA,NA,NA,NA,5.396,4.255,0.758,1.0865,0.2075
"18-Jul-2002","12:50","Pandalus",234603,25,2.36384157024793,0.768811329752065,NA,NA,NA,NA,NA,NA,NA,5.6985,4.5075,0.782,1.119,0.2075
"18-Jul-2002","12:50","Pandalus",234604,50,1.91358603305785,0.538055366942149,NA,NA,NA,NA,NA,NA,NA,5.709,4.289,0.786,1.046,0.201
"18-Jul-2002","12:50","Pandalus",234605,95,0.499003388429752,0.708584811570248,NA,NA,NA,NA,NA,NA,NA,8.8305,7.0795,0.9755,0.4925,0.19
"16-Aug-2002","13:21","Pandalus",234609,1,4.84024702479339,1.06185264187328,166.675719077135,53.768554322865,133.778179614325,35.5768055356749,228,NA,NA,4.831,3.8105,0.7595,0.9565,0.2995
"16-Aug-2002","13:21","Pandalus",234610,10,3.52700170798898,1.10387649201102,NA,NA,NA,NA,NA,NA,NA,4.341,3.1835,0.6415,0.7815,0.2505
"16-Aug-2002","13:21","Pandalus",234611,25,2.51392674931129,0.527924617355371,NA,NA,NA,NA,NA,NA,NA,4.3515,3.104,0.6285,0.813,0.2395
"16-Aug-2002","13:21","Pandalus",234612,50,1.16434123966942,0.474528460330578,NA,NA,NA,NA,NA,NA,NA,7.8745,6.7455,0.9505,0.739,0.3025
"16-Aug-2002","13:21","Pandalus",234613,95,0.297771625344353,0.333993707988981,NA,NA,NA,NA,NA,NA,NA,6.046,5.139,0.731,0.479,0.1365
"30-Aug-2002","13:08","Pandalus",234617,1,NA,NA,NA,NA,NA,NA,242,NA,NA,2.0175,2.8275,1.308,1.11,0.218
"30-Aug-2002","13:08","Pandalus",234618,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.2225,4.0475,4.6435,1.155,0.2935
"30-Aug-2002","13:08","Pandalus",234619,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.9045,4.154,0.83,1.2695,0.3065
"30-Aug-2002","13:08","Pandalus",234620,50,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.529,5.519,1.1035,1.1935,0.3005
"30-Aug-2002","13:08","Pandalus",234621,95,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.139,9.33,1.026,0.385,0.2135
"16-Sep-2002","13:20","Pandalus",234625,1,2.8514479338843,1.1163418661157,136.741779721074,67.1285793414256,87.019656373967,37.279265938533,259,NA,NA,7.223,6.4605,2.116,1.516,0.3845
"16-Sep-2002","13:20","Pandalus",234626,10,1.62176101239669,0.728723162603305,NA,NA,NA,NA,NA,NA,NA,7.3195,6.408,1.018,1.152,0.368
"16-Sep-2002","13:20","Pandalus",234627,25,1.58017739669422,0.691238503305785,NA,NA,NA,NA,NA,NA,NA,7.4445,6.512,2.4,1.043,0.3745
"16-Sep-2002","13:20","Pandalus",234628,50,1.62176101239669,0.685595012603305,NA,NA,NA,NA,NA,NA,NA,7.7145,7.081,1.9635,0.8985,0.372
"16-Sep-2002","13:20","Pandalus",234629,95,0.588111136363637,0.641041138636363,NA,NA,NA,NA,NA,NA,NA,10.179,9.1955,3.65,0.401,0.2685
"30-Sep-2002","14:40","Pandalus",234633,1,4.84024702479339,1.28885647520661,244.910200041322,70.6518600836776,166.566407789256,40.2908353357438,273,NA,NA,5.0315,4.6465,2.34,1.009,0.4975
"30-Sep-2002","14:40","Pandalus",234634,10,4.05229983471074,1.16878833195592,NA,NA,NA,NA,NA,NA,NA,6.6715,6.0255,4.733,0.74,0.5715
"30-Sep-2002","14:40","Pandalus",234635,25,2.7015332231405,0.567321976859503,NA,NA,NA,NA,NA,NA,NA,7.1645,6.1405,1.2155,0.4905,0.5645
"30-Sep-2002","14:40","Pandalus",234636,50,2.9829429338843,0.626418016115702,NA,NA,NA,NA,NA,NA,NA,6.9075,5.7825,1.5605,0.3705,0.499
"30-Sep-2002","14:40","Pandalus",234637,95,0.499003388429752,0.722960861570248,NA,NA,NA,NA,NA,NA,NA,10.8445,9.6435,2.709,0.261,0.154
"18-Oct-2002","13:49","Pandalus",234641,1,1.9247273553719,0.662961644628099,135.90713714876,88.4239350762396,74.6901143181818,39.0172531568182,291,NA,253.2,7.64,7.3595,3.8215,1.1795,0.3465
"18-Oct-2002","13:49","Pandalus",234642,10,1.26533002066116,0.653872654338843,NA,NA,NA,NA,NA,NA,NA,8.165,7.5305,3.692,0.3135,0.349
"18-Oct-2002","13:49","Pandalus",234643,25,1.17622227272727,0.570467802272727,NA,NA,NA,NA,NA,NA,NA,8.2235,7.4775,0.883,0.234,0.355
"18-Oct-2002","13:49","Pandalus",234644,50,2.03165665289256,1.28921089710744,NA,NA,NA,NA,NA,NA,NA,8.492,7.6985,2.3055,0.28,0.2315
"18-Oct-2002","13:49","Pandalus",234645,95,0.689099917355372,0.906641632644628,NA,NA,NA,NA,NA,NA,NA,10.872,9.766,2.865,0.3315,0.257
"01-Nov-2002","13:53","Pandalus",234649,1,1.85730409090909,0.798640759090908,105.08955927686,75.0422394856405,63.3871332438017,40.2461094561983,305,NA,256.2,8.0955,6.415,4.4495,0.7195,0.338
"01-Nov-2002","13:53","Pandalus",234650,10,1.68845826446281,0.89938543553719,NA,NA,NA,NA,NA,NA,NA,7.7145,5.9285,4.259,0.522,0.3315
"01-Nov-2002","13:53","Pandalus",234651,25,1.02176884297521,0.789613457024793,NA,NA,NA,NA,NA,NA,NA,9.673,7.9855,4.6,0.29,0.3145
"01-Nov-2002","13:53","Pandalus",234652,50,0.998006776859504,0.741495273140496,NA,NA,NA,NA,NA,NA,NA,9.7465,8.756,13.41,0.287,0.2865
"01-Nov-2002","13:53","Pandalus",234653,95,0.855434380165289,0.804999394834711,NA,NA,NA,NA,NA,NA,NA,9.945,8.177,1.435,0.2715,0.2715
"28-Nov-2002","14:01","Pandalus",234657,1,0.738310468319559,0.362343198347107,49.7074661157025,27.8121145509642,27.4051871900826,14.688645976584,332,NA,NA,9.698,7.4915,1.3815,0.793,0.197
"28-Nov-2002","14:01","Pandalus",234658,10,0.587385123966942,0.305970542699724,NA,NA,NA,NA,NA,NA,NA,9.8575,7.387,1.894,0.5985,0.1915
"28-Nov-2002","14:01","Pandalus",234659,25,0.493566666666667,0.291204333333333,NA,NA,NA,NA,NA,NA,NA,9.781,7.4265,1.2655,0.48,0.1995
"28-Nov-2002","14:01","Pandalus",234660,50,0.513961983471074,0.256002016528926,NA,NA,NA,NA,NA,NA,NA,9.883,7.961,1.728,0.2535,0.1735
"28-Nov-2002","14:01","Pandalus",234661,95,0.477250413223141,0.327263253443526,NA,NA,NA,NA,NA,NA,NA,9.9495,8.5965,2.307,0.275,0.17
"13-Dec-2002","14:07","Pandalus",234665,1,0.760386115702479,0.41844998429752,40.9691565564738,25.8060781601928,22.4298135812672,14.0280886353994,347,NA,300,8.924,7.262,2.343,0.534,0.1665
"13-Dec-2002","14:07","Pandalus",234666,10,0.440538842975207,0.24551882369146,NA,NA,NA,NA,NA,NA,NA,10.677,8.1805,2.3375,0.3305,0.1875
"13-Dec-2002","14:07","Pandalus",234667,25,0.39566914600551,0.265710187327824,NA,NA,NA,NA,NA,NA,NA,10.303,8.144,1.806,0.317,0.1885
"13-Dec-2002","14:07","Pandalus",234668,50,0.403827272727273,0.277294727272727,NA,NA,NA,NA,NA,NA,NA,10.1605,7.9135,1.148,0.3135,0.172
"13-Dec-2002","14:07","Pandalus",234669,95,0.420143526170799,0.246171473829201,NA,NA,NA,NA,NA,NA,NA,10.023,7.7425,1.0725,0.3215,0.176
