"sdate","stime","vessel","id","depth","Chl_a_Holm-Hansen_F","Phaeo_Holm-HansenF","Chl_int","Phaeo_int","Chl_int_50m","Phaeo_int_50m","gmt_doy","O2_Electrode","o2_ml","o2_um","NO2NO3_Tech_F","SiO4_Tech_F","PO4_Tech_F","Salinity_Sal_PSS","gmt_doy","NO2NO3_Tech_F_int>50m","SiO4_Tech_F_int>50m","PO4_Tech_F_int>50m"
"17-Feb-2003","01:41","NEEDLER",258854,100,0.362220826446281,0.164908373553719,NA,NA,NA,NA,NA,NA,NA,NA,7.1185,8.5195,0.916,31.819,NA,NA,NA,NA
"17-Feb-2003","01:41","NEEDLER",258853,140,0.0467716363636364,0.0839940636363636,NA,NA,NA,NA,NA,83.6418008186237,6.29,281,9.801,10.4315,0.9975,NA,NA,NA,NA,NA
"17-Feb-2003","01:41","NEEDLER",258863,5,0.360997107438017,0.152805792561983,NA,NA,NA,NA,NA,100.090109474779,8.604,384.5,6.697,7.9245,0.9445,32.378,NA,NA,NA,NA
"17-Feb-2003","01:41","NEEDLER",258862,40,0.372010578512397,0.150676521487603,NA,NA,NA,NA,NA,NA,NA,NA,6.3355,7.7545,0.835,32.319,NA,NA,NA,NA
"17-Feb-2003","01:41","NEEDLER",258861,75,0.15377947107438,0.10346452892562,NA,NA,NA,NA,NA,NA,NA,NA,8.133,8.6765,0.944,NA,NA,NA,NA,NA
"17-Feb-2003","01:41","NEEDLER",258860,140,0.0389763636363636,0.0532027363636364,NA,NA,NA,NA,NA,77.772818824,5.5515,248,12.1435,12.9015,1.12,NA,NA,NA,NA,NA
"20-Mar-2003","17:17","NEEDLER",181091,1,3.48948041322314,0.0517793867768592,217.237456735537,21.8418902644628,164.680962727273,10.3389927727272,79,101.461943551364,8.625,385,5.7295,6.9385,0.749,31.448,NA,NA,NA,NA
"20-Mar-2003","17:17","NEEDLER",181090,5,3.37691652892562,0.164343271074379,NA,NA,NA,NA,NA,NA,NA,NA,5.618,6.9865,0.835,NA,NA,NA,NA,NA
"20-Mar-2003","17:17","NEEDLER",181089,10,2.7015332231405,0.0225127768595034,NA,NA,NA,NA,NA,NA,NA,NA,5.833,7.081,0.7705,NA,NA,NA,NA,NA
"20-Mar-2003","17:17","NEEDLER",181088,20,3.48948041322314,0.0517793867768592,NA,NA,NA,NA,NA,NA,NA,NA,5.6375,6.964,0.7535,NA,NA,NA,NA,NA
"20-Mar-2003","17:17","NEEDLER",181087,30,3.37691652892562,0.16434327107438,NA,NA,NA,NA,NA,NA,NA,NA,5.7235,6.9145,0.745,NA,NA,NA,NA,NA
"20-Mar-2003","17:17","NEEDLER",181086,40,3.2643526446281,0.5493117553719,NA,NA,NA,NA,NA,101.767089620188,8.5845,383,5.685,6.9135,0.755,31.45,NA,NA,NA,NA
"20-Mar-2003","17:17","NEEDLER",181085,50,3.48948041322314,0.324183986776858,NA,NA,NA,NA,NA,NA,NA,NA,5.752,6.894,0.74,NA,NA,NA,NA,NA
"20-Mar-2003","17:17","NEEDLER",181084,75,0.145275537190083,0.120543262809917,NA,NA,NA,NA,NA,NA,NA,NA,8.236,8.6465,0.8775,NA,NA,NA,NA,NA
"20-Mar-2003","17:17","NEEDLER",181083,100,0.124015702479339,0.0860668975206612,NA,NA,NA,NA,NA,NA,NA,NA,8.236,8.7335,0.8755,NA,NA,NA,NA,NA
"20-Mar-2003","17:17","NEEDLER",181082,140,0.0637795041322314,0.0819920958677686,NA,NA,NA,NA,NA,77.94614401622,5.625,251,12.742,12.5345,1.1625,33.235,NA,NA,NA,NA
"12-Apr-2003","15:08","HUDSON",261512,4,4.21738759398496,0.933609163533835,717.169291823308,136.367202772556,270.455954417293,46.5878994360902,102,108.76341087556,8.886,397,0.1255,0.474,0.392,31.411,NA,NA,NA,NA
"12-Apr-2003","15:08","HUDSON",261511,10,4.28128740601504,0.871903336466167,NA,NA,NA,NA,NA,NA,NA,NA,0.192,0.67,0.3315,NA,NA,NA,NA,NA
"12-Apr-2003","15:08","HUDSON",261510,20,4.34518721804511,0.728128759398496,NA,NA,NA,NA,NA,NA,NA,NA,0.005,0.306,0.302,NA,NA,NA,NA,NA
"12-Apr-2003","15:08","HUDSON",261509,30,4.92028552631579,0.747257565789474,NA,NA,NA,NA,NA,NA,NA,NA,0.026,0.3365,0.3175,NA,NA,NA,NA,NA
"12-Apr-2003","15:08","HUDSON",261508,40,7.41237819548872,1.21313656015038,NA,NA,NA,NA,NA,114.963682925563,9.382,419,0.096,1.1395,0.385,NA,NA,NA,NA,NA
"12-Apr-2003","15:08","HUDSON",261507,50,7.9874765037594,1.23226536654135,NA,NA,NA,NA,NA,NA,NA,NA,2.36,0.922,0.5345,NA,NA,NA,NA,NA
"12-Apr-2003","15:08","HUDSON",261506,60,12.0131646616541,1.8585795112782,NA,NA,NA,NA,NA,NA,NA,NA,4.898,2.011,0.7515,NA,NA,NA,NA,NA
"12-Apr-2003","15:08","HUDSON",261505,70,10.223969924812,1.61669266917293,NA,NA,NA,NA,NA,NA,NA,NA,7.958,6.217,0.9655,NA,NA,NA,NA,NA
"12-Apr-2003","15:08","HUDSON",261504,80,5.36758421052632,1.05393552631579,NA,NA,NA,NA,NA,NA,NA,NA,8.7785,8.0355,0.9645,NA,NA,NA,NA,NA
"12-Apr-2003","15:08","HUDSON",261503,100,2.9781954887218,0.90124765037594,NA,NA,NA,NA,NA,NA,NA,NA,10.341,9.377,1.069,NA,NA,NA,NA,NA
"12-Apr-2003","15:08","HUDSON",261502,140,0.727249060150376,0.300939614661654,NA,NA,NA,NA,NA,NA,NA,NA,13.353,12.766,1.16,NA,NA,NA,NA,NA
"12-Apr-2003","15:08","HUDSON",261501,180,0.414801315789474,0.187534539473684,NA,NA,NA,NA,NA,63.374035021701,4.254,190,15.341,14.3425,1.228,33.289,NA,NA,NA,NA
"18-Apr-2003","23:38","HUDSON",261774,5,10.4156693609023,0.610887687969925,731.374736842105,93.1249983552632,560.514347744361,46.055873825188,108,129.840190993726,10.5315,470.5,0.1275,0.5405,0.352,NA,NA,NA,NA,NA
"18-Apr-2003","23:38","HUDSON",261773,10,9.90447086466166,1.10453430451128,NA,NA,NA,NA,NA,NA,NA,NA,0.06,5.3225,0.3995,NA,NA,NA,NA,NA
"18-Apr-2003","23:38","HUDSON",261772,20,11.8563276315789,1.11948157894737,NA,NA,NA,NA,NA,NA,NA,NA,0.044,0.654,0.3595,NA,NA,NA,NA,NA
"18-Apr-2003","23:38","HUDSON",261771,30,13.926480075188,1.05405733082707,NA,NA,NA,NA,NA,NA,NA,NA,0.257,1.264,0.4475,NA,NA,NA,NA,NA
"18-Apr-2003","23:38","HUDSON",261770,40,13.5500887218045,0.93411287593985,NA,NA,NA,NA,NA,NA,NA,NA,2.607,2.5655,0.6365,NA,NA,NA,NA,NA
"18-Apr-2003","23:38","HUDSON",261769,50,2.95686635338346,0.422738204887218,NA,NA,NA,NA,NA,NA,NA,NA,3.093,3.269,0.615,NA,NA,NA,NA,NA
"18-Apr-2003","23:38","HUDSON",261768,60,2.02889567669173,0.455297227443609,NA,NA,NA,NA,NA,NA,NA,NA,2.4625,1.9635,0.5605,NA,NA,NA,NA,NA
"18-Apr-2003","23:38","HUDSON",261767,80,2.04750939849624,0.556853853383458,NA,NA,NA,NA,NA,NA,NA,NA,7.6835,6.5855,0.9225,NA,NA,NA,NA,NA
"18-Apr-2003","23:38","HUDSON",261766,100,1.69384868421053,0.539777960526316,NA,NA,NA,NA,NA,NA,NA,NA,11.351,7.1825,1.057,NA,NA,NA,NA,NA
"18-Apr-2003","23:38","HUDSON",261765,179,NA,NA,NA,NA,NA,NA,NA,68.1010413592614,4.476,200,15.044,13.884,1.1955,NA,NA,NA,NA,NA
"05-May-2003","17:07","Matthew",261110,1,0.434478682170543,0.216610465116279,42.485824127907,40.8207394622093,27.1764418604651,10.9989745639535,125,116.070435734599,8.61,384.5,0.052,0.4145,0.3525,31.546,NA,NA,NA,NA
"05-May-2003","17:07","Seahorse",261109,5,0.175744186046512,0.0562630813953488,NA,NA,NA,NA,NA,NA,NA,NA,0.0165,0.537,0.3715,NA,NA,NA,NA,NA
"05-May-2003","17:07","Deploy trip",261108,10,0.20503488372093,0.058421511627907,NA,NA,NA,NA,NA,NA,NA,NA,0.0455,0.4665,0.364,NA,NA,NA,NA,NA
"05-May-2003","17:07","Lunenburg",261107,20,0.170862403100775,0.0796220930232558,NA,NA,NA,NA,NA,NA,NA,NA,0.0995,0.562,0.382,NA,NA,NA,NA,NA
"05-May-2003","17:07","Lunenburg",261106,30,0.20503488372093,0.064609011627907,NA,NA,NA,NA,NA,NA,NA,NA,0.2935,0.51,0.445,NA,NA,NA,NA,NA
"05-May-2003","17:07","Lunenburg",261105,40,1.68319437984496,0.545581395348837,NA,NA,NA,NA,NA,NA,NA,NA,0.916,1.5705,0.5345,31.833,NA,NA,NA,NA
"05-May-2003","17:07","Lunenburg",261104,50,0.590695736434108,0.551934593023256,NA,NA,NA,NA,NA,97.9897380651323,7.983,356.5,4.083,1.589,0.78,31.95,NA,NA,NA,NA
"05-May-2003","17:07","Lunenburg",261103,75,0.161098837209302,0.31815261627907,NA,NA,NA,NA,NA,NA,NA,NA,7.075,4.776,0.96,NA,NA,NA,NA,NA
"05-May-2003","17:07","Lunenburg",261102,100,0.0778866279069767,0.281055087209302,NA,NA,NA,NA,NA,NA,NA,NA,13.5205,8.2,1.1645,NA,NA,NA,NA,NA
"05-May-2003","17:07","Lunenburg",261101,140,0.0683449612403101,0.291723837209302,NA,NA,NA,NA,NA,56.1382096055375,3.5945,160.5,18.0095,15.886,1.3125,34.768,NA,NA,NA,NA
"16-May-2003","10:04","HUDSON",262752,5,0.374654651162791,0.114289534883721,17.3392498062016,19.3268816860465,11.8807063953488,6.00787936046511,136,NA,NA,NA,0.065,0.2545,0.3435,NA,NA,NA,NA,NA
"16-May-2003","10:04","HUDSON",262751,10,0.309238759689922,0.133337790697674,NA,NA,NA,NA,NA,NA,NA,NA,0.039,0.377,0.3565,NA,NA,NA,NA,NA
"16-May-2003","10:04","HUDSON",262750,20,0.309238759689923,0.163487790697674,NA,NA,NA,NA,NA,NA,NA,NA,0.034,0.509,0.365,NA,NA,NA,NA,NA
"16-May-2003","10:04","HUDSON",262749,30,0.187691240310078,0.0862172093023255,NA,NA,NA,NA,NA,NA,NA,NA,1.159,1.4415,0.536,NA,NA,NA,NA,NA
"16-May-2003","10:04","HUDSON",262748,40,0.096428527131783,0.116958313953488,NA,NA,NA,NA,NA,NA,NA,NA,2.469,1.082,0.686,NA,NA,NA,NA,NA
"16-May-2003","10:04","HUDSON",262747,50,0.163584108527132,0.0968082558139535,NA,NA,NA,NA,NA,NA,NA,NA,2.1145,1.7205,0.613,NA,NA,NA,NA,NA
"16-May-2003","10:04","HUDSON",262746,60,0.0619897674418605,0.080955523255814,NA,NA,NA,NA,NA,NA,NA,NA,6.9185,5.4055,0.9465,NA,NA,NA,NA,NA
"16-May-2003","10:04","HUDSON",262745,80,0.0774872093023256,0.146481279069767,NA,NA,NA,NA,NA,NA,NA,NA,8.3635,6.2695,1.0375,NA,NA,NA,NA,NA
"16-May-2003","10:04","HUDSON",262744,100,0.0516581395348837,0.174041686046512,NA,NA,NA,NA,NA,NA,NA,NA,8.407,5.208,1.121,NA,NA,NA,NA,NA
"16-May-2003","10:04","HUDSON",262743,140,0.0654336434108527,0.230346802325581,NA,NA,NA,NA,NA,NA,NA,NA,16.5325,17.0105,1.4525,NA,NA,NA,NA,NA
"29-May-2003","07:06","HUDSON",262762,5,0.231929069767442,0.126384593023256,19.4763168604651,21.9086620639535,16.0324408914729,10.876970494186,149,103.98,7.231,323,0.142,0.5075,0.3575,31.767,NA,NA,NA,NA
"29-May-2003","07:06","HUDSON",262761,10,0.214088372093023,0.106226162790698,NA,NA,NA,NA,NA,NA,NA,NA,0.024,0.6975,0.349,NA,NA,NA,NA,NA
"29-May-2003","07:06","HUDSON",262760,20,0.273557364341085,0.198545930232558,NA,NA,NA,NA,NA,NA,NA,NA,0.185,0.527,0.366,NA,NA,NA,NA,NA
"29-May-2003","07:06","HUDSON",262759,30,0.446017441860465,0.292910755813954,NA,NA,NA,NA,NA,NA,NA,NA,0.191,0.6005,0.4145,NA,NA,NA,NA,NA
"29-May-2003","07:06","HUDSON",262758,40,0.523327131782946,0.382776453488372,NA,NA,NA,NA,NA,95.35,7.767,347,3.6925,2.138,0.777,32.033,NA,NA,NA,NA
"29-May-2003","07:06","HUDSON",262757,50,0.0516581395348837,0.0780116860465116,NA,NA,NA,NA,NA,NA,NA,NA,7.2565,5.56,1.026,NA,NA,NA,NA,NA
"29-May-2003","07:06","HUDSON",262756,60,0.0482142635658915,0.105402906976744,NA,NA,NA,NA,NA,NA,NA,NA,7.496,6.4395,1.0185,NA,NA,NA,NA,NA
"29-May-2003","07:06","HUDSON",262755,80,0.0396045736434108,0.122592209302326,NA,NA,NA,NA,NA,NA,NA,NA,8.683,7.88,1.117,NA,NA,NA,NA,NA
"29-May-2003","07:06","HUDSON",262754,100,0.0361606976744186,0.143435930232558,NA,NA,NA,NA,NA,NA,NA,NA,10.001,8.978,1.1765,NA,NA,NA,NA,NA
"29-May-2003","07:06","HUDSON",262753,140,0.0292729457364341,0.115283372093023,NA,NA,NA,NA,NA,50.6,3.309,147.5,17.843,18.5435,1.3975,34.545,NA,NA,NA,NA
"26-Jun-2003","13:07","NEEDLER",257010,1,0.248970930232558,0.11935746124031,28.6294379844961,34.8435951744186,21.4518856589147,12.6147605523256,177,101.862887058453,6.553,293,0,1.4935,0.3325,31.053,NA,NA,NA,NA
"26-Jun-2003","13:07","NEEDLER",257009,5,0.253852713178295,0.132903449612403,NA,NA,NA,NA,NA,NA,NA,NA,0,1.42,0.3245,NA,NA,NA,NA,NA
"26-Jun-2003","13:07","NEEDLER",257008,10,0.312434108527132,0.167704166666667,NA,NA,NA,NA,NA,NA,NA,NA,0,1.2975,0.327,NA,NA,NA,NA,NA
"26-Jun-2003","13:07","NEEDLER",257007,20,0.351488372093023,0.240448701550388,NA,NA,NA,NA,NA,NA,NA,NA,0,1.263,0.3665,NA,NA,NA,NA,NA
"26-Jun-2003","13:07","NEEDLER",257006,30,0.317315891472868,0.200068468992248,NA,NA,NA,NA,NA,NA,NA,NA,0.276,1.382,0.457,NA,NA,NA,NA,NA
"26-Jun-2003","13:07","NEEDLER",257005,40,0.989093604651163,0.518472062015504,NA,NA,NA,NA,NA,101.238384899162,7.984,356.5,0.981,1.6005,0.5815,32.063,NA,NA,NA,NA
"26-Jun-2003","13:07","NEEDLER",257004,50,0.12808023255814,0.162189813953488,NA,NA,NA,NA,NA,NA,NA,NA,5.312,4.8415,0.898,NA,NA,NA,NA,NA
"26-Jun-2003","13:07","NEEDLER",257003,75,0.0536552325581395,0.193514447674419,NA,NA,NA,NA,NA,NA,NA,NA,8.059,8.0945,1.034,NA,NA,NA,NA,NA
"26-Jun-2003","13:07","NEEDLER",257002,100,0.117695348837209,0.398259837209302,NA,NA,NA,NA,NA,NA,NA,NA,8.6765,8.9845,1.059,NA,NA,NA,NA,NA
"26-Jun-2003","13:07","NEEDLER",257001,140,0.020503488372093,0.121007802325581,NA,NA,NA,NA,NA,56.1937717299551,3.69,165,16.853,15.6305,1.313,34.322,NA,NA,NA,NA
"13-Jul-2003","21:49","HUDSON",265618,5,0.355543984962406,0.113301033834587,72.1178796992481,41.7540831766917,57.0626635338346,23.4367570488722,194,NA,NA,NA,0.0935,0.471,0.304,NA,NA,NA,NA,NA
"13-Jul-2003","21:49","HUDSON",265617,10,0.506380827067669,0.299743139097744,NA,NA,NA,NA,NA,NA,NA,NA,0.102,0.365,0.2955,NA,NA,NA,NA,NA
"13-Jul-2003","21:49","HUDSON",265616,20,0.517154887218045,0.275501503759399,NA,NA,NA,NA,NA,NA,NA,NA,0.19,0.645,0.3805,NA,NA,NA,NA,NA
"13-Jul-2003","21:49","HUDSON",265615,30,0.856231203007519,0.511917293233082,NA,NA,NA,NA,NA,NA,NA,NA,0.1835,0.501,0.3495,NA,NA,NA,NA,NA
"13-Jul-2003","21:49","HUDSON",265614,40,2.81159172932331,0.895968609022557,NA,NA,NA,NA,NA,NA,NA,NA,4.227,4.3265,0.7795,NA,NA,NA,NA,NA
"13-Jul-2003","21:49","HUDSON",265613,50,1.74968984962406,0.701010338345865,NA,NA,NA,NA,NA,NA,NA,NA,5.372,4.906,0.8685,NA,NA,NA,NA,NA
"13-Jul-2003","21:49","HUDSON",265612,60,0.11212030075188,0.202229323308271,NA,NA,NA,NA,NA,NA,NA,NA,6.3715,4.8535,0.884,NA,NA,NA,NA,NA
"13-Jul-2003","21:49","HUDSON",265611,80,0.0560601503759399,0.161864661654135,NA,NA,NA,NA,NA,NA,NA,NA,8.319,7.4495,0.977,NA,NA,NA,NA,NA
"13-Jul-2003","21:49","HUDSON",265610,100,0.0700751879699248,0.170830827067669,NA,NA,NA,NA,NA,NA,NA,NA,11.8805,9.9055,1.207,NA,NA,NA,NA,NA
"13-Jul-2003","21:49","HUDSON",265609,150,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16.7705,15.641,1.3285,NA,NA,NA,NA,NA
"18-Jul-2003","04:52","NEEDLER",257769,1,0.221544186046512,0.079958465116279,30.8586819767442,37.7399549689922,24.5436519379845,13.4707442325581,199,102.638421870211,5.846,261.333333333333,0,1.013,0.286,30.872,NA,NA,NA,NA
"18-Jul-2003","04:52","NEEDLER",257768,5,0.224562015503876,0.0755964341085271,NA,NA,NA,NA,NA,NA,NA,NA,0,1.0765,0.286,NA,NA,NA,NA,NA
"18-Jul-2003","04:52","NEEDLER",257767,10,0.27337984496124,0.126262945736434,NA,NA,NA,NA,NA,NA,NA,NA,0,1.1305,0.3125,NA,NA,NA,NA,NA
"18-Jul-2003","04:52","NEEDLER",257766,20,0.532114341085271,0.27911988372093,NA,NA,NA,NA,NA,NA,NA,NA,0,1.1165,0.356,NA,NA,NA,NA,NA
"18-Jul-2003","04:52","NEEDLER",257765,30,0.302670542635659,0.22025496124031,NA,NA,NA,NA,NA,87.1557596844458,6.98966666666667,312.333333333333,2.517,2.8695,0.731,NA,NA,NA,NA,NA
"18-Jul-2003","04:52","NEEDLER",257764,40,1.17997131782946,0.507436162790698,NA,NA,NA,NA,NA,NA,NA,NA,5.51,4.4585,0.925,32.159,NA,NA,NA,NA
"18-Jul-2003","04:52","NEEDLER",257763,50,0.134115891472868,0.375120542635659,NA,NA,NA,NA,NA,NA,NA,NA,8.4085,8.3125,1.047,NA,NA,NA,NA,NA
"18-Jul-2003","04:52","NEEDLER",257762,75,0.0692325581395349,0.254387930232558,NA,NA,NA,NA,NA,NA,NA,NA,6.6295,7.2715,0.918,NA,NA,NA,NA,NA
"18-Jul-2003","04:52","NEEDLER",257761,100,0.0553860465116279,0.27639511627907,NA,NA,NA,NA,NA,NA,NA,NA,10.2415,10.3785,1.122,NA,NA,NA,NA,NA
"18-Jul-2003","04:52","NEEDLER",257760,156,0.0553860465116279,0.211883220930233,NA,NA,NA,NA,NA,53.6941234100055,3.53733333333333,158,16.772,16.696,1.3135,34.377,NA,NA,NA,NA
"31-Jul-2003","01:55","NEEDLER",263273,1,0.527232558139535,0.136565852713178,34.5877650193799,26.9712412839147,29.1227199612403,15.2115321705426,212,102.495413744372,6.5445,292.5,0.041,0.6825,0.321,31.573,NA,NA,NA,NA
"31-Jul-2003","01:55","NEEDLER",263272,5,0.414951550387597,0.123358178294574,NA,NA,NA,NA,NA,NA,NA,NA,0.0385,0.746,0.326,NA,NA,NA,NA,NA
"31-Jul-2003","01:55","NEEDLER",263271,10,0.419833333333333,0.130716666666667,NA,NA,NA,NA,NA,NA,NA,NA,0.0655,1.0235,0.3185,NA,NA,NA,NA,NA
"31-Jul-2003","01:55","NEEDLER",263270,20,1.11056124031008,0.553121784883721,NA,NA,NA,NA,NA,NA,NA,NA,1.186,1.515,0.553,NA,NA,NA,NA,NA
"31-Jul-2003","01:55","NEEDLER",263269,30,0.580932170542636,0.397078895348837,NA,NA,NA,NA,NA,NA,NA,NA,0.891,1.111,0.563,NA,NA,NA,NA,NA
"31-Jul-2003","01:55","NEEDLER",263268,40,0.458887596899225,0.288925658914729,NA,NA,NA,NA,NA,86.2497771327029,6.754,301.5,3.235,2.383,0.783,32.333,NA,NA,NA,NA
"31-Jul-2003","01:55","NEEDLER",263267,50,0.204236046511628,0.17501688372093,NA,NA,NA,NA,NA,NA,NA,NA,5.1835,4.116,0.905,NA,NA,NA,NA,NA
"31-Jul-2003","01:55","NEEDLER",263266,75,0.060578488372093,0.138852319767442,NA,NA,NA,NA,NA,NA,NA,NA,9.4265,8.9695,1.083,NA,NA,NA,NA,NA
"31-Jul-2003","01:55","NEEDLER",263265,100,0.0259622093023256,0.116000889534884,NA,NA,NA,NA,NA,NA,NA,NA,14.6225,12.928,1.2575,NA,NA,NA,NA,NA
"31-Jul-2003","01:55","NEEDLER",263264,150,0.027693023255814,0.116533058139535,NA,NA,NA,NA,NA,49.2292282469142,3.1875,142,18.1475,18.6395,1.387,34.635,NA,NA,NA,NA
"13-Aug-2003","13:36","SAMBRO",188561,1,0.675536686046512,0.192483706395349,40.2911076550388,34.0973490261628,32.2426896317829,19.5388770784884,225,102.981195817566,5.687,254,0,0.935,0.2625,31.139,NA,NA,NA,NA
"13-Aug-2003","13:36","SAMBRO",188562,5,0.588929418604651,0.255623808139535,NA,NA,NA,NA,NA,NA,NA,NA,0,0.901,0.239,NA,NA,NA,NA,NA
"13-Aug-2003","13:36","SAMBRO",188563,10,0.658215232558139,0.275365726744186,NA,NA,NA,NA,NA,NA,NA,NA,0,1.014,0.2815,NA,NA,NA,NA,NA
"13-Aug-2003","13:36","SAMBRO",188564,20,0.536965058139535,0.218862994186046,NA,NA,NA,NA,NA,NA,NA,NA,0,1.068,0.3305,NA,NA,NA,NA,NA
"13-Aug-2003","13:36","SAMBRO",188565,30,0.883394127906977,0.624933837209302,NA,NA,NA,NA,NA,NA,NA,NA,0,0.9645,0.4045,NA,NA,NA,NA,NA
"13-Aug-2003","13:36","SAMBRO",188566,40,0.658215232558139,0.538818226744186,NA,NA,NA,NA,NA,94.226821920682,7.178,320.5,0.8665,1.246,0.56,32.191,NA,NA,NA,NA
"13-Aug-2003","13:36","SAMBRO",188567,50,0.368707751937985,0.383945058139535,NA,NA,NA,NA,NA,NA,NA,NA,3.1855,3.7345,0.78,NA,NA,NA,NA,NA
"13-Aug-2003","13:36","SAMBRO",188568,75,0.0757652713178295,0.196188139534884,NA,NA,NA,NA,NA,NA,NA,NA,10.418,8.579,1.086,NA,NA,NA,NA,NA
"13-Aug-2003","13:36","SAMBRO",188569,100,0.0327168217054263,0.107534651162791,NA,NA,NA,NA,NA,NA,NA,NA,15.076,12.3415,1.272,NA,NA,NA,NA,NA
"13-Aug-2003","13:36","SAMBRO",188570,140,0.0241071317829457,0.0679789534883721,NA,NA,NA,NA,NA,51.6324225376565,3.383,151,17.4695,17.6515,1.373,34.393,NA,NA,NA,NA
