"sdate","stime","vessel","id","depth","Chl_a_Holm-Hansen_F","Phaeo_Holm-HansenF","Chl_int","Phaeo_int","Chl_int_50m","Phaeo_int_50m","doy","O2_Electrode","NO2NO3_Tech_F","SiO4_Tech_F","PO4_Tech_F"
"17-May-2001","16:07","Opilio",205525,40,0.1323,0.5607,NA,NA,NA,NA,NA,NA,7.5275,9.903,1.016
"17-May-2001","16:07","Opilio",205524,50,0.1827,0.691425,NA,NA,NA,NA,NA,NA,7.7255,9.769,1.0465
"17-May-2001","16:07","Opilio",205523,60,0.1827,0.911925,NA,NA,NA,NA,NA,NA,9.202,10.482,1.124
"17-May-2001","16:07","Opilio",205522,70,0.1512,0.8883,NA,NA,NA,NA,NA,NA,9.3155,13.2105,1.1955
"17-May-2001","16:07","Opilio",205521,80,0.284175,1.53928125,NA,NA,NA,NA,NA,NA,10.997,16.7395,1.3045
"30-May-2001","19:39","Opilio",205540,1,0.2961,0.0676200000000001,10.23825,14.535425,7.857525,3.3027425,150,308.5,0.1215,0.2765,0.4205
"30-May-2001","19:39","Opilio",205539,5,0.2583,0.04991,NA,NA,NA,NA,NA,NA,0.1125,0.25,0.437
"30-May-2001","19:39","Opilio",205538,10,0.2646,0.13202,NA,NA,NA,NA,NA,NA,0.371,0.609,0.509
"30-May-2001","19:39","Opilio",205537,20,0.2646,0.05957,NA,NA,NA,NA,NA,NA,0.4205,0.5055,0.5835
"30-May-2001","19:39","Opilio",205536,30,0.06432,0.0458773333333333,NA,NA,NA,NA,NA,NA,1.676,1.464,0.791
"30-May-2001","19:39","Opilio",205535,40,0.0384,0.0545866666666667,NA,NA,NA,NA,NA,NA,2.861,3.0685,1.1435
"30-May-2001","19:39","Opilio",205534,50,0.029835,0.0569595,NA,NA,NA,NA,NA,381,6.282,7.42,1.0325
"30-May-2001","19:39","Opilio",205533,60,0.071955,0.2471235,NA,NA,NA,NA,NA,NA,8.9655,13.098,1.202
"30-May-2001","19:39","Opilio",205532,70,0.0882,0.45724,NA,NA,NA,NA,NA,NA,10.359,15.271,1.2935
"30-May-2001","19:39","Opilio",205531,80,0.126,0.78085,NA,NA,NA,NA,NA,307.5,11.162,17.797,1.39
"16-Jun-2001","19:27","Opilio",205550,1,0.4347,0.22379,42.9319125,35.8605075,40.1914125,23.4071575,167,307,0.061,0.59,0.109
"16-Jun-2001","19:27","Opilio",205549,5,0.4977,0.27209,NA,NA,NA,NA,NA,NA,0.0605,0.5945,0.134
"16-Jun-2001","19:27","Opilio",205548,10,0.663075,0.435735,NA,NA,NA,NA,NA,NA,0.077,0.322,0.1855
"16-Jun-2001","19:27","Opilio",205547,20,2.04606,0.764956999999999,NA,NA,NA,NA,NA,329,0.1095,0.7265,0.4625
"16-Jun-2001","19:27","Opilio",205546,30,0.7497,0.48944,NA,NA,NA,NA,NA,NA,2.4235,9.3075,0.8185
"16-Jun-2001","19:27","Opilio",205545,40,0.3087,0.42504,NA,NA,NA,NA,NA,NA,2.0715,3.244,1.036
"16-Jun-2001","19:27","Opilio",205544,50,0.126,0.2898,NA,NA,NA,NA,NA,304,4.452,6.7385,1.163
"16-Jun-2001","19:27","Opilio",205543,60,0.0882,0.40089,NA,NA,NA,NA,NA,NA,9.07,14.21,1.375
"16-Jun-2001","19:27","Opilio",205542,70,0.0693,0.38801,NA,NA,NA,NA,NA,NA,11.1965,19.1845,1.4075
"16-Jun-2001","19:27","Opilio",205541,80,0.1071,0.62307,NA,NA,NA,NA,NA,288,11.448,20.157,1.413
"01-Jul-2001","19:19","Opilio",205560,1,1.534545,0.610029,81.36432,38.4033415,70.11882,23.2934915,182,278.5,0.0605,0.3245,0.1615
"01-Jul-2001","19:19","Opilio",205559,5,3.71628,0.719946,NA,NA,NA,NA,NA,NA,0.068,0.3755,0.226
"01-Jul-2001","19:19","Opilio",205558,10,1.55349,0.590663,NA,NA,NA,NA,NA,NA,0.0665,0.7125,0.257
"01-Jul-2001","19:19","Opilio",205557,20,2.747025,0.5083575,NA,NA,NA,NA,NA,283,0.39,1.179,0.441
"01-Jul-2001","19:19","Opilio",205556,30,0.4914,0.26243,NA,NA,NA,NA,NA,NA,1.555,2.414,0.629
"01-Jul-2001","19:19","Opilio",205555,40,0.2205,0.31395,NA,NA,NA,NA,NA,NA,3.9335,4.926,0.99
"01-Jul-2001","19:19","Opilio",205554,50,0.5103,0.58926,NA,NA,NA,NA,NA,281,8.971,18.6955,1.5115
"01-Jul-2001","19:19","Opilio",205553,60,0.2268,0.39606,NA,NA,NA,NA,NA,NA,10.265,17.062,1.4435
"01-Jul-2001","19:19","Opilio",205552,70,0.5859,0.58443,NA,NA,NA,NA,NA,NA,11.126,19.8255,1.53
"01-Jul-2001","19:19","Opilio",205551,80,0.1134,0.47173,NA,NA,NA,NA,NA,276,9.7015,16.4135,1.3565
"10-Jul-2001","15:48","Opilio",205570,1,3.22065,0.726225,95.42565,53.5287816666667,88.55865,41.6711316666667,191,295,0.1465,0,0.114
"10-Jul-2001","15:48","Opilio",205569,5,3.315375,0.847262499999999,NA,NA,NA,NA,NA,NA,0.146,0.045,0.142
"10-Jul-2001","15:48","Opilio",205568,10,3.239595,0.827896499999999,NA,NA,NA,NA,NA,NA,0.1455,0.0575,0.178
"10-Jul-2001","15:48","Opilio",205567,20,2.065005,1.3991935,NA,NA,NA,NA,NA,284,0.592,1.5745,0.3655
"10-Jul-2001","15:48","Opilio",205566,30,1.5156,1.06513,NA,NA,NA,NA,NA,NA,1.017,2.082,0.532
"10-Jul-2001","15:48","Opilio",205565,40,0.252,0.279066666666667,NA,NA,NA,NA,NA,NA,4.6355,5.2075,1.0255
"10-Jul-2001","15:48","Opilio",205564,50,0.2709,0.40733,NA,NA,NA,NA,NA,295,7.4925,10.4485,1.2135
"10-Jul-2001","15:48","Opilio",205563,60,0.1638,0.26726,NA,NA,NA,NA,NA,NA,8.3445,12.0945,1.254
"10-Jul-2001","15:48","Opilio",205562,70,0.2772,0.38479,NA,NA,NA,NA,NA,NA,9.6345,16.3745,1.386
"10-Jul-2001","15:48","Opilio",205561,80,0.2205,0.6601,NA,NA,NA,NA,NA,269,9.679,18.1865,1.3715
"01-Aug-2001","14:37","Shippagan",205580,1,0.966195,0.319539,59.11722,51.66982775,51.52572,39.18427775,213,305,0.423,0,0.189
"01-Aug-2001","14:37","Shippagan",205579,5,1.59138,0.7213835,NA,NA,NA,NA,NA,NA,0.428,0,0.308
"01-Aug-2001","14:37","Shippagan",205578,10,2.23551,1.007032,NA,NA,NA,NA,NA,NA,0.461,0,0.268
"01-Aug-2001","14:37","Shippagan",205577,20,1.47771,1.3701445,NA,NA,NA,NA,NA,NA,3.0255,3.6635,0.776
"01-Aug-2001","14:37","Shippagan",205576,30,0.6426,0.72772,NA,NA,NA,NA,NA,NA,2.7585,3.2515,0.9395
"01-Aug-2001","14:37","Shippagan",205575,40,0.2646,0.50232,NA,NA,NA,NA,NA,NA,8.342,10.4305,1.3565
"01-Aug-2001","14:37","Shippagan",205574,50,0.1701,0.28497,NA,NA,NA,NA,NA,328.5,7.548,8.9385,1.324
"01-Aug-2001","14:37","Shippagan",205573,60,0.1701,0.34132,NA,NA,NA,NA,NA,NA,9.808,12.722,1.523
"01-Aug-2001","14:37","Shippagan",205572,70,0.2646,0.44597,NA,NA,NA,NA,NA,NA,11.486,19.729,1.8095
"01-Aug-2001","14:37","Shippagan",205571,80,0.4788,0.63756,NA,NA,NA,NA,NA,264.5,11.4725,19.107,1.729
"14-Aug-2001","21:00","Opilio",205590,1,1.32615,0.38732,57.0515625,62.588405,50.3420625,47.551005,226,256.5,0.445,0.595,0.222
"14-Aug-2001","21:00","Opilio",205589,5,1.041975,0.48415,NA,NA,NA,NA,NA,NA,0.4315,0.4305,0.2365
"14-Aug-2001","21:00","Opilio",205588,10,1.70505,0.774640000000001,NA,NA,NA,NA,NA,NA,0.4365,0,0.2615
"14-Aug-2001","21:00","Opilio",205587,20,1.079865,1.074813,NA,NA,NA,NA,NA,265,1.5995,2.3095,0.7315
"14-Aug-2001","21:00","Opilio",205586,30,0.79569,1.171643,NA,NA,NA,NA,NA,NA,4.928,5.622,1.0615
"14-Aug-2001","21:00","Opilio",205585,40,0.83358,1.229741,NA,NA,NA,NA,NA,NA,5.3595,6.1845,1.1665
"14-Aug-2001","21:00","Opilio",205584,50,0.3591,0.72772,NA,NA,NA,NA,NA,289,7.3225,9.5785,1.3385
"14-Aug-2001","21:00","Opilio",205583,60,0.2268,0.41216,NA,NA,NA,NA,NA,NA,8.7465,12.084,1.501
"14-Aug-2001","21:00","Opilio",205582,70,0.1197,0.38479,NA,NA,NA,NA,NA,NA,11.288,16.456,1.6455
"14-Aug-2001","21:00","Opilio",205581,80,0.2898,0.68586,NA,NA,NA,NA,NA,242,10.536,19.0285,1.59
"18-Sep-2001","15:18","Shippagan",205600,1,1.85661,0.910202,47.16963,33.6434685,45.03033,25.7706835,261,NA,0.486,1.263,0.32
"18-Sep-2001","15:18","Shippagan",205599,5,1.5156,0.77464,NA,NA,NA,NA,NA,NA,0.4815,1.389,0.3645
"18-Sep-2001","15:18","Shippagan",205598,10,1.81872,0.706859,NA,NA,NA,NA,NA,NA,0.477,1.256,0.4195
"18-Sep-2001","15:18","Shippagan",205597,20,1.36404,0.832738,NA,NA,NA,NA,NA,NA,0.529,1.1985,0.4445
"18-Sep-2001","15:18","Shippagan",205596,30,0.378,0.2898,NA,NA,NA,NA,NA,NA,1.7905,1.8435,0.859
"18-Sep-2001","15:18","Shippagan",205595,40,0.1053,0.174915,NA,NA,NA,NA,NA,NA,6.2935,6.552,1.2295
"18-Sep-2001","15:18","Shippagan",205594,50,0.1053,0.255645,NA,NA,NA,NA,NA,NA,9.808,12.223,1.461
"18-Sep-2001","15:18","Shippagan",205593,60,0.05265,0.210795,NA,NA,NA,NA,NA,NA,9.6365,12.094,1.467
"18-Sep-2001","15:18","Shippagan",205592,70,0.04563,0.191061,NA,NA,NA,NA,NA,NA,10.9035,13.789,1.516
"18-Sep-2001","15:18","Shippagan",205591,80,0.126,0.5152,NA,NA,NA,NA,NA,NA,13.4465,21.9455,1.736
"03-Oct-2001","14:22","Shippagan",71770,1,1.40193,0.745591,40.392405,28.3903835,38.023155,22.9635335,276,NA,0.5365,0.66,0.377
"03-Oct-2001","14:22","Shippagan",71769,5,1.62927,0.852104,NA,NA,NA,NA,NA,NA,0.513,0.6335,0.4145
"03-Oct-2001","14:22","Shippagan",71768,10,1.36404,0.784323,NA,NA,NA,NA,NA,NA,0.528,0.6825,0.4255
"03-Oct-2001","14:22","Shippagan",71767,20,1.36404,0.735908,NA,NA,NA,NA,NA,NA,0.5335,0.7765,0.473
"03-Oct-2001","14:22","Shippagan",71766,30,0.15444,0.142623,NA,NA,NA,NA,NA,NA,5.837,7.383,1.1485
"03-Oct-2001","14:22","Shippagan",71765,40,0.05265,0.139035,NA,NA,NA,NA,NA,NA,9.0405,9.3815,1.4315
"03-Oct-2001","14:22","Shippagan",71764,50,0.10881,0.166842,NA,NA,NA,NA,NA,NA,8.8135,8.7655,1.39
"03-Oct-2001","14:22","Shippagan",71763,60,0.07371,0.121992,NA,NA,NA,NA,NA,NA,11.695,15.016,1.514
"03-Oct-2001","14:22","Shippagan",71762,70,0.05265,0.156975,NA,NA,NA,NA,NA,NA,13.433,19.896,1.6875
"03-Oct-2001","14:22","Shippagan",71761,80,0.11232,0.360594,NA,NA,NA,NA,NA,NA,14.598,24.9665,1.786
"16-Oct-2001","14:39","Shippagan",71780,1,2.70887553719008,0.886521291322313,55.9396935123967,31.3499649096074,53.9554422727273,26.3424801988636,289,NA,0.5275,2.628,0.4605
"16-Oct-2001","14:39","Shippagan",71779,5,2.72669708677686,0.890331554752066,NA,NA,NA,NA,NA,NA,0.591,2.7965,0.52
"16-Oct-2001","14:39","Shippagan",71778,10,2.51283849173554,0.954380268595041,NA,NA,NA,NA,NA,NA,0.756,2.835,0.4935
"16-Oct-2001","14:39","Shippagan",71777,20,0.887196280991736,0.521333367768595,NA,NA,NA,NA,NA,NA,1.482,2.9105,0.5245
"16-Oct-2001","14:39","Shippagan",71776,30,0.440538842975207,0.418300103305785,NA,NA,NA,NA,NA,NA,2.5625,3.328,0.666
"16-Oct-2001","14:39","Shippagan",71775,40,0.0956692561983472,0.212514173553719,NA,NA,NA,NA,NA,NA,4.0335,3.4655,0.8685
"16-Oct-2001","14:39","Shippagan",71774,50,0.0956692561983472,0.199419173553719,NA,NA,NA,NA,NA,NA,9.905,11.473,1.2375
"16-Oct-2001","14:39","Shippagan",71773,60,0.0690944628099174,0.147904958677686,NA,NA,NA,NA,NA,NA,10.164,12.104,1.216
"16-Oct-2001","14:39","Shippagan",71772,70,0.0407480165289256,0.133114462809917,NA,NA,NA,NA,NA,NA,11.564,14.775,1.2995
"16-Oct-2001","14:39","Shippagan",71771,80,0.0814960330578513,0.240038925619835,NA,NA,NA,NA,NA,NA,13.062,19.0595,1.444
"01-Nov-2001","12:51","Shippagan",235100,1,1.14057917355372,0.507309359504132,26.6275091942149,22.9645649380165,24.2987901859504,15.8008327066116,305,NA,1.4195,2.2175,0.682
"01-Nov-2001","12:51","Shippagan",235099,5,0.96236367768595,0.425297975206612,NA,NA,NA,NA,NA,NA,1.5015,2.4435,0.708
"01-Nov-2001","12:51","Shippagan",235098,10,0.697519834710744,0.420480371900826,NA,NA,NA,NA,NA,NA,1.7935,2.3585,0.7225
"01-Nov-2001","12:51","Shippagan",235097,20,0.624096694214876,0.404782438016529,NA,NA,NA,NA,NA,NA,2.2865,2.757,0.7805
"01-Nov-2001","12:51","Shippagan",235096,30,0.34264132231405,0.254157024793388,NA,NA,NA,NA,NA,NA,3.0495,3.226,0.872
"01-Nov-2001","12:51","Shippagan",235095,40,0.0956692561983471,0.181959173553719,NA,NA,NA,NA,NA,NA,7.6655,7.847,1.169
"01-Nov-2001","12:51","Shippagan",235094,50,0.138188925619835,0.160494917355372,NA,NA,NA,NA,NA,NA,9.96,11.1395,1.2635
"01-Nov-2001","12:51","Shippagan",235093,60,0.0655511570247934,0.144964896694215,NA,NA,NA,NA,NA,NA,9.931,10.8545,1.276
"01-Nov-2001","12:51","Shippagan",235092,70,0.0248031404958678,0.219187933884298,NA,NA,NA,NA,NA,NA,11.4305,13.6285,1.3255
"01-Nov-2001","12:51","Shippagan",235091,80,0.146846280991736,0.543945867768595,NA,NA,NA,NA,NA,NA,13.7185,21.5365,1.543
"14-Nov-2001","11:59","Shippagan",71790,1,0.538436363636364,0.446768181818182,32.2302016528926,23.8168087809917,27.1543247933884,15.054131714876,318,NA,2.4315,2.457,0.7905
"14-Nov-2001","11:59","Shippagan",71789,5,0.562910743801653,0.271100826446281,NA,NA,NA,NA,NA,NA,2.446,2.501,0.7885
"14-Nov-2001","11:59","Shippagan",71788,10,0.587385123966942,0.29140847107438,NA,NA,NA,NA,NA,NA,2.477,2.514,0.802
"14-Nov-2001","11:59","Shippagan",71787,20,0.513961983471074,0.305860537190082,NA,NA,NA,NA,NA,NA,2.5165,2.6205,0.8225
"14-Nov-2001","11:59","Shippagan",71786,30,0.575147933884298,0.30386714876033,NA,NA,NA,NA,NA,NA,2.437,2.4875,0.7765
"14-Nov-2001","11:59","Shippagan",71785,40,0.587385123966942,0.29140847107438,NA,NA,NA,NA,NA,NA,2.4845,2.5005,0.7825
"14-Nov-2001","11:59","Shippagan",71784,50,0.367115702479339,0.259389669421488,NA,NA,NA,NA,NA,NA,2.3185,2.4825,0.774
"14-Nov-2001","11:59","Shippagan",71783,60,0.159448760330579,0.178135289256198,NA,NA,NA,NA,NA,NA,4.2485,4.522,0.905
"14-Nov-2001","11:59","Shippagan",71782,70,0.0850393388429752,0.280081487603306,NA,NA,NA,NA,NA,NA,7.8575,9.028,1.21
"14-Nov-2001","11:59","Shippagan",71781,80,0.15908347107438,0.576712190082645,NA,NA,NA,NA,NA,NA,11.543,17.24,1.4745
"29-Nov-2001","13:24","Shippagan",71800,1,0.709757024793388,0.257271694214876,26.9682099173554,24.6657151859504,21.5252173553719,16.8957734504132,333,NA,2.7115,2.57,0.78
"29-Nov-2001","13:24","Shippagan",71799,5,0.917789256198347,0.286674173553719,NA,NA,NA,NA,NA,NA,2.55,2.59,0.7555
"29-Nov-2001","13:24","Shippagan",71798,10,0.50172479338843,0.363544214876033,NA,NA,NA,NA,NA,NA,2.6945,2.6405,0.7665
"29-Nov-2001","13:24","Shippagan",71797,20,0.391590082644628,0.324922314049587,NA,NA,NA,NA,NA,NA,2.669,2.7995,0.7915
"29-Nov-2001","13:24","Shippagan",71796,30,0.354878512396694,0.497973347107438,NA,NA,NA,NA,NA,NA,2.771,2.804,0.803
"29-Nov-2001","13:24","Shippagan",71795,40,0.195795041322314,0.267986157024793,NA,NA,NA,NA,NA,NA,2.397,2.4855,0.8165
"29-Nov-2001","13:24","Shippagan",71794,50,0.416064462809917,0.239704958677686,NA,NA,NA,NA,NA,NA,2.4145,2.6705,0.8375
"29-Nov-2001","13:24","Shippagan",71793,60,0.134645619834711,0.199022355371901,NA,NA,NA,NA,NA,NA,6.4325,12.378,1.244
"29-Nov-2001","13:24","Shippagan",71792,70,0.109842479338843,0.219909421487603,NA,NA,NA,NA,NA,NA,11.1465,15.004,1.43
"29-Nov-2001","13:24","Shippagan",71791,80,0.183557851239669,0.476419834710744,NA,NA,NA,NA,NA,NA,12.304,20.395,1.5745
"12-Dec-2001","13:21","Spray",174250,1,0.891077479338843,0.212467546487603,35.1648853099174,30.1465118026859,28.3120588636364,24.0458088068182,346,NA,8.378,10.3265,1.2015
"12-Dec-2001","13:21","Spray",174249,5,0.873255929752066,0.230611658057851,NA,NA,NA,NA,NA,NA,8.52,10.456,1.3125
"12-Dec-2001","13:21","Spray",174248,10,0.481181838842975,0.190694612603306,NA,NA,NA,NA,NA,NA,8.6925,10.5955,1.145
"12-Dec-2001","13:21","Spray",174247,20,0.534646487603306,0.136262277892562,NA,NA,NA,NA,NA,NA,8.642,10.5535,1.1285
"12-Dec-2001","13:21","Spray",174246,30,0.62375423553719,1.62625672004132,NA,NA,NA,NA,NA,NA,8.6265,10.372,1.176
"12-Dec-2001","13:21","Spray",174245,40,0.391590082644628,0.204322314049587,NA,NA,NA,NA,NA,NA,8.2165,9.63,1.1395
"12-Dec-2001","13:21","Spray",174244,50,0.520080578512397,0.254406198347107,NA,NA,NA,NA,NA,NA,6.7055,7.627,1.069
"12-Dec-2001","13:21","Spray",174243,60,0.201913636363636,0.163769318181818,NA,NA,NA,NA,NA,NA,5.0785,4.874,1.005
"12-Dec-2001","13:21","Spray",174242,70,0.152964876033058,0.14576652892562,NA,NA,NA,NA,NA,NA,6.6385,6.997,1.0925
"12-Dec-2001","13:21","Spray",174241,80,0.140727685950413,0.34666270661157,NA,NA,NA,NA,NA,NA,12.3405,19.6775,1.723
