"sdate","id","depth","Chl_a_Holm-Hansen_F","Phaeo_Holm-HansenF","Chl_int","Phaeo_int","Chl_int_50m","Phaeo_int_50m","doy","NO2NO3_Tech_F","SiO4_Tech_F","PO4_Tech_F","NH3_Tech_F","NO2_Tech_F"
"29-Mar-2000",213051,25,0.332320512820513,0.130554487179487,NA,NA,NA,NA,NA,9.544,8.3385,0.826,NA,NA
"29-Mar-2000",213052,50,0.308583333333333,0.136658333333333,NA,NA,NA,NA,NA,9.9235,8.5865,0.8885,NA,NA
"29-Mar-2000",213053,95,0.244153846153846,0.18786282051282,NA,NA,NA,NA,NA,8.927,6.934,0.8435,NA,NA
"25-Apr-2000",213072,1,0.866657692307692,0.399377307692307,30.7690019230769,25.0763338461538,21.1935932692308,13.8986655769231,116,9.679,11.2285,0.759,NA,NA
"25-Apr-2000",213071,10,0.640903846153846,0.302479487179487,NA,NA,NA,NA,NA,8.289,9.0405,0.7095,NA,NA
"25-Apr-2000",213070,25,0.274673076923077,0.179385256410256,NA,NA,NA,NA,NA,8.982,8.667,0.799,NA,NA
"25-Apr-2000",213069,50,0.259413461538462,0.358770512820513,NA,NA,NA,NA,NA,9.0965,8.4985,0.8365,NA,NA
"25-Apr-2000",213068,95,0.166160256410256,0.138014743589744,NA,NA,NA,NA,NA,8.8645,6.9255,0.8745,NA,NA
"17-May-2000",213060,1,0.5712,0.3003,48.19485,27.45080625,33.411,16.440375,138,8.5785,8.387,0.757,NA,NA
"17-May-2000",213061,10,0.9282,0.3843,NA,NA,NA,NA,NA,7.151,6.785,0.673,NA,NA
"17-May-2000",213062,25,0.6468,0.3297,NA,NA,NA,NA,NA,7.8315,7.3325,0.7355,NA,NA
"17-May-2000",213063,50,0.4956,0.28665,NA,NA,NA,NA,NA,8.3735,7.327,0.76,NA,NA
"17-May-2000",213064,95,0.16146,0.2027025,NA,NA,NA,NA,NA,8.7085,6.7215,0.83,NA,NA
"31-May-2000",213077,1,10.98288,-0.0946800000000022,777.878895,12.8822175000001,512.28192,5.06538000000005,152,4.316,2.8695,0.6025,NA,NA
"31-May-2000",213078,10,10.85664,-0.28404,NA,NA,NA,NA,NA,4.35,2.802,0.558,NA,NA
"31-May-2000",213079,25,9.84672,0.568080000000003,NA,NA,NA,NA,NA,4.651,2.986,0.594,NA,NA
"31-May-2000",213080,50,9.97296,-0.189359999999999,NA,NA,NA,NA,NA,5.126,3.0755,0.6225,NA,NA
"31-May-2000",213081,95,1.83135,0.536775,NA,NA,NA,NA,NA,7.576,5.322,0.8125,NA,NA
"15-Jun-2000",213087,1,6.47352,0.719280000000001,481.986855,55.01277,305.81388,23.85612,167,1.6585,1.0605,0.481,NA,NA
"15-Jun-2000",213088,10,6.43356,0.509489999999999,NA,NA,NA,NA,NA,2.273,1.3545,0.4965,NA,NA
"15-Jun-2000",213089,25,6.15384,0.439560000000001,NA,NA,NA,NA,NA,2.7015,1.5385,0.5085,NA,NA
"15-Jun-2000",213090,50,5.5944,0.3996,NA,NA,NA,NA,NA,3.4915,1.9265,0.5705,NA,NA
"15-Jun-2000",213091,95,2.23551,0.985139999999999,NA,NA,NA,NA,NA,7.3825,5.0495,0.87,NA,NA
"28-Jun-2000",213095,1,2.45754,0.314685,225.2990025,51.75491625,142.01784,28.1742975,180,3.0315,2.0275,0.706,2.994,0.153
"28-Jun-2000",213096,10,3.23676,0.809190000000001,NA,NA,NA,NA,NA,2.5995,1.7025,0.587,0.7425,0.133
"28-Jun-2000",213097,25,2.7972,0.64935,NA,NA,NA,NA,NA,2.821,1.688,0.582,1.159,0.115
"28-Jun-2000",213098,50,2.6973,0.2997,NA,NA,NA,NA,NA,3.3665,2.0805,0.631,1.6455,0.1345
"28-Jun-2000",213099,95,1.004085,0.7483275,NA,NA,NA,NA,NA,6.021,4.153,0.858,1.321,0.142
"11-Jul-2000",213403,1,1.59138,0.80042625,106.41501,73.878643125,71.57421,42.0484275,193,4.196,3.41,0.9445,2.02,0.223
"11-Jul-2000",213404,10,1.79346,0.9693525,NA,NA,NA,NA,NA,4.278,3.3785,0.8315,1.2145,0.188
"11-Jul-2000",213405,25,1.307205,0.80042625,NA,NA,NA,NA,NA,4.5555,3.591,0.8305,1.4005,0.188
"11-Jul-2000",213406,50,1.21248,0.80042625,NA,NA,NA,NA,NA,3.996,3.0885,0.7505,1.3665,0.166
"11-Jul-2000",213407,95,0.336,0.61425,NA,NA,NA,NA,NA,4.513,3.496,0.808,1.478,0.165
"31-Jul-2000",213408,1,4.43556,1.25874,269.344845,104.108439375,187.34247,60.1722675,213,2.339,0.655,2.697,1.327,0.188
"31-Jul-2000",213409,10,4.67532,1.243755,NA,NA,NA,NA,NA,2.5485,2.466,0.647,0.0525,0.1855
"31-Jul-2000",213410,25,3.65634,1.213785,NA,NA,NA,NA,NA,2.6955,2.5485,0.6535,0.339,0.193
"31-Jul-2000",213411,50,2.6973,1.123875,NA,NA,NA,NA,NA,4.0045,3.607,0.763,0.78,0.2285
"31-Jul-2000",213412,95,0.94725,0.82884375,NA,NA,NA,NA,NA,7.307,5.6215,0.937,0.235,0.234
"15-Aug-2000",213418,1,4.31568,0.779219999999999,187.29738,70.1486325,121.79808,40.9015575,228,2.6485,2.357,0.74,2.7995,0.224
"15-Aug-2000",213419,10,2.57742,0.794204999999999,NA,NA,NA,NA,NA,3.7155,3.444,0.725,2.1635,0.2275
"15-Aug-2000",213420,25,2.15784,0.914085,NA,NA,NA,NA,NA,4.237,4.1095,0.791,1.6885,0.2505
"15-Aug-2000",213421,50,1.91808,0.704295,NA,NA,NA,NA,NA,4.8955,3.997,0.752,1.9275,0.239
"15-Aug-2000",213422,95,0.993,0.595575,NA,NA,NA,NA,NA,8.275,6.295,0.988,0.593,0.2145
"28-Aug-2000",213426,1,NA,NA,NA,NA,NA,NA,241,5.3565,3.8745,0.8685,2.175,0.285
"28-Aug-2000",213427,10,NA,NA,NA,NA,NA,NA,NA,4.7245,3.3465,0.738,0.9885,0.2485
"28-Aug-2000",213428,25,NA,NA,NA,NA,NA,NA,NA,4.3935,2.9955,0.756,1.5635,0.223
"28-Aug-2000",213429,50,NA,NA,NA,NA,NA,NA,NA,6.3115,4.7055,0.942,0.552,0.29
"28-Aug-2000",213430,95,NA,NA,NA,NA,NA,NA,NA,6.2625,4.536,0.801,1.625,0.181
"14-Sep-2000",213434,1,7.97202,1.61838,300.5783325,88.802701875,226.4086575,54.8082675,258,1.9075,3.143,0.677,0.5825,0.153
"14-Sep-2000",213435,10,5.81418,1.37862,NA,NA,NA,NA,NA,3.341,4.6325,0.7205,0.695,0.23
"14-Sep-2000",213436,25,4.13586,0.95904,NA,NA,NA,NA,NA,4.6805,4.4455,0.7995,0.729,0.2545
"14-Sep-2000",213437,50,2.406015,0.814635,NA,NA,NA,NA,NA,6.0375,5.566,0.868,0.6845,0.253
"14-Sep-2000",213438,95,0.890415,0.69622875,NA,NA,NA,NA,NA,8.7555,6.8585,0.986,0.1865,0.2055
"25-Sep-2000",213442,1,1.231425,0.663075,112.4669925,70.506185625,62.59428,37.257710625,269,5.807,4.482,0.8515,1.19,0.264
"25-Sep-2000",213443,10,1.269315,0.79095375,NA,NA,NA,NA,NA,6.176,5.0155,0.8455,0.8285,0.2555
"25-Sep-2000",213444,25,1.21248,0.70570125,NA,NA,NA,NA,NA,7.071,7.234,0.946,0.4245,0.3115
"25-Sep-2000",213445,50,1.307205,0.80042625,NA,NA,NA,NA,NA,7.173,5.5655,0.948,0.3685,0.2985
"25-Sep-2000",213446,95,0.90936,0.67728375,NA,NA,NA,NA,NA,7.9465,6.628,0.981,0.355,0.25
"16-Oct-2000",213450,1,1.28826,0.53519625,99.6601725,38.200224375,60.870285,21.575986875,290,6.674,4.8645,0.8965,2.7485,0.38
"16-Oct-2000",213451,10,1.49034,0.4199475,NA,NA,NA,NA,NA,7.454,5.87,0.908,0.563,0.468
"16-Oct-2000",213452,25,1.06092,0.4073175,NA,NA,NA,NA,NA,7.5315,5.731,0.9465,0.4325,0.4155
"16-Oct-2000",213453,50,1.17459,0.435735,NA,NA,NA,NA,NA,6.7785,5.068,0.807,0.585,0.346
"16-Oct-2000",213454,95,0.549405,0.30312,NA,NA,NA,NA,NA,8.22,6.1305,0.942,0.1285,0.194
"06-Nov-2000",213458,1,1.420875,0.44994375,116.505435,43.078561875,69.1902975,23.257355625,311,7.086,4.832,0.803,2.732,0.159
"06-Nov-2000",213459,10,1.40193,0.4452075,NA,NA,NA,NA,NA,6.915,4.582,0.836,0.4235,0.169
"06-Nov-2000",213460,25,1.54086,0.511515,NA,NA,NA,NA,NA,6.746,4.3005,0.8295,0.2795,0.202
"06-Nov-2000",213461,50,1.09881,0.41679,NA,NA,NA,NA,NA,7.9735,5.322,0.9895,0,0.269
"06-Nov-2000",213462,95,1.004085,0.4641525,NA,NA,NA,NA,NA,8.508,5.9035,1.079,0,0.22
"15-Nov-2000",213466,1,1.99821,0.51534,120.403845,56.9633925,68.115645,30.39303,320,7.4205,4.667,1.2215,0.968,0.2505
"15-Nov-2000",213467,10,1.534545,0.66781125,NA,NA,NA,NA,NA,7.4865,4.544,0.9185,0.1545,0.2295
"15-Nov-2000",213468,25,1.193535,0.6536025,NA,NA,NA,NA,NA,6.4945,4.007,0.822,0.758,0.208
"15-Nov-2000",213469,50,1.18722,0.51783,NA,NA,NA,NA,NA,7.6825,4.6955,0.949,0.051,0.217
"15-Nov-2000",213470,95,1.1367,0.663075,NA,NA,NA,NA,NA,7.4545,4.672,0.9805,0.304,0.2125
"29-Nov-2000",213474,1,0.852525,0.40258125,67.425255,31.9886325,38.439405,17.28257625,334,6.653,4.9635,0.811,1.1535,0.1155
"29-Nov-2000",213475,10,0.890415,0.22260375,NA,NA,NA,NA,NA,6.8225,4.888,0.811,0.0335,0.118
"29-Nov-2000",213476,25,0.738855,0.397845,NA,NA,NA,NA,NA,6.5585,4.7805,0.8,0.7545,0.134
"29-Nov-2000",213477,50,0.663075,0.35521875,NA,NA,NA,NA,NA,6.7915,4.992,0.868,0.334,0.1765
"29-Nov-2000",213478,95,0.625185,0.29838375,NA,NA,NA,NA,NA,7.6105,5.2875,0.94,0,0.1805
"19-Dec-2000",213482,1,0.4977,0.297675,42.0168,28.766325,22.21905,14.9575125,354,8.4155,6.4935,1.0355,2.305,0.335
"19-Dec-2000",213483,10,0.4536,0.3024,NA,NA,NA,NA,NA,8.2645,6.3055,0.971,1.7935,0.2725
"19-Dec-2000",213484,25,0.4158,0.285075,NA,NA,NA,NA,NA,7.9715,6.146,0.9795,1.768,0.3055
"19-Dec-2000",213485,50,0.4578,0.3192,NA,NA,NA,NA,NA,8.386,6.8445,1.022,1.0205,0.2725
"19-Dec-2000",213486,95,0.4221,0.294525,NA,NA,NA,NA,NA,7.941,6.2535,0.975,1.269,0.2735
