"sdate","id","depth","Chl_a_Holm-Hansen_F","Phaeo_Holm-HansenF","Chl_int","Phaeo_int","Chl_int_50m","Phaeo_int_50m","doy","NO2NO3_Tech_F","SiO4_Tech_F","PO4_Tech_F"
"02-Jun-2000",210940,80,0.230589743589744,1.00374358974359,NA,NA,NA,NA,NA,11.97,19.9895,1.336
"26-Jun-2000",210941,1,1.32232307692308,0.559306923076923,32.9809237179487,30.4034346153846,29.7716865384615,19.5037051282051,178,0.45,0.335,0.1
"26-Jun-2000",210942,5,1.42060384615385,0.519101153846153,NA,NA,NA,NA,NA,0.3515,0.2885,0.138
"26-Jun-2000",210943,10,1.46527692307692,0.683498076923077,NA,NA,NA,NA,NA,0.335,0.5675,0.177
"26-Jun-2000",210944,20,0.455665384615385,0.461919615384615,NA,NA,NA,NA,NA,0.3655,2.7005,0.404
"26-Jun-2000",210945,30,0.179724358974359,0.225842307692308,NA,NA,NA,NA,NA,4.941,6.1755,0.875
"26-Jun-2000",210946,40,0.128858974358974,0.241441025641026,NA,NA,NA,NA,NA,10.14,12.9215,1.143
"26-Jun-2000",210947,50,0.15598717948718,0.21431282051282,NA,NA,NA,NA,NA,10.285,13.1335,1.1575
"26-Jun-2000",210948,60,0.0649012820512821,0.257137051282051,NA,NA,NA,NA,NA,11.731,16.909,1.253
"26-Jun-2000",210949,70,0.108512820512821,0.429303846153846,NA,NA,NA,NA,NA,11.8665,18.8315,1.379
"26-Jun-2000",210950,80,0.139032051282051,0.592751282051282,NA,NA,NA,NA,NA,12.447,19.1945,1.4075
"23-Jul-2000",210951,1,0.951536538461539,0.389995961538461,25.7743971153846,22.1544403846154,23.3337432692308,13.5168567307692,205,0.2255,0.9155,0.1275
"23-Jul-2000",210952,5,0.991742307692308,0.436902692307692,NA,NA,NA,NA,NA,0.18,1.049,0.138
"23-Jul-2000",210953,10,1.05875192307692,0.439583076923077,NA,NA,NA,NA,NA,0.168,0.964,0.1015
"23-Jul-2000",210954,20,0.666336538461539,0.404888461538461,NA,NA,NA,NA,NA,3.4245,5.3025,0.6905
"23-Jul-2000",210955,30,0.0617019230769231,0.120113076923077,NA,NA,NA,NA,NA,5.2625,7.646,0.9785
"23-Jul-2000",210956,40,0.0342788461538462,0.0976261538461538,NA,NA,NA,NA,NA,8.5285,11.0785,1.194
"23-Jul-2000",210957,50,0.0904961538461539,0.171531346153846,NA,NA,NA,NA,NA,11.0455,17.919,1.4145
"23-Jul-2000",210958,60,0.0877538461538461,0.268746153846154,NA,NA,NA,NA,NA,13.789,24.087,1.612
"23-Jul-2000",210959,70,0.0781557692307692,0.358556730769231,NA,NA,NA,NA,NA,13.997,26.215,1.6935
"23-Jul-2000",210960,80,0.0658153846153846,0.301379615384615,NA,NA,NA,NA,NA,13.904,26.312,1.754
"14-Aug-2000",210961,1,0.503567307692308,0.197357692307692,17.3719663461538,18.1289649038461,15.3426586538462,11.7626975961538,227,0.2635,1.3615,0.1605
"14-Aug-2000",210962,5,0.707028846153846,0.265008653846154,NA,NA,NA,NA,NA,0.1835,1.1985,0.1205
"14-Aug-2000",210963,10,0.938134615384616,0.351130384615384,NA,NA,NA,NA,NA,0.183,1.2225,0.1355
"14-Aug-2000",210964,20,0.208548076923077,0.274164423076923,NA,NA,NA,NA,NA,6.0525,7.245,0.928
"14-Aug-2000",210965,30,0.0630730769230769,0.191824423076923,NA,NA,NA,NA,NA,9.5405,13.2805,1.2495
"14-Aug-2000",210966,40,0.0603307692307693,0.174959230769231,NA,NA,NA,NA,NA,10.0145,13.815,1.283
"14-Aug-2000",210967,50,0.0589596153846154,0.187025384615385,NA,NA,NA,NA,NA,10.6765,14.687,1.292
"14-Aug-2000",210968,60,0.0946096153846154,0.201285384615385,NA,NA,NA,NA,NA,11.0255,14.538,1.277
"14-Aug-2000",210969,70,0.0452480769230769,0.159739423076923,NA,NA,NA,NA,NA,12.2125,17.4305,1.379
"14-Aug-2000",210970,80,0.0671865384615385,0.364178461538461,NA,NA,NA,NA,NA,13.059,20.679,1.474
"29-Aug-2000",210971,1,1.079865,0.3883725,51.2914725,45.6803775,46.4139225,34.2431775,242,0.256,2.0995,0.182
"29-Aug-2000",210972,5,1.06092,0.45468,NA,NA,NA,NA,NA,0.176,1.565,0.146
"29-Aug-2000",210973,10,1.382985,0.60624,NA,NA,NA,NA,NA,0.164,0.8295,0.1545
"29-Aug-2000",210974,20,1.572435,0.96145875,NA,NA,NA,NA,NA,0.254,1.1795,0.266
"29-Aug-2000",210975,30,0.776745,0.76253625,NA,NA,NA,NA,NA,2.22,3.963,0.713
"29-Aug-2000",210976,40,0.3717,0.707175,NA,NA,NA,NA,NA,8.472,10.7565,1.1365
"29-Aug-2000",210977,50,0.1638,0.4347,NA,NA,NA,NA,NA,8.934,10.19,1.1375
"29-Aug-2000",210978,60,0.2583,0.316575,NA,NA,NA,NA,NA,11.4865,14.734,1.304
"29-Aug-2000",210979,70,0.071955,0.2483325,NA,NA,NA,NA,NA,15.7795,26.105,1.6465
"29-Aug-2000",210980,80,0.1512,0.722925,NA,NA,NA,NA,NA,14.0705,23.601,1.5755
"17-Sep-2000",210981,1,1.32615,0.852524999999999,32.9055975,42.785611875,28.6899975,34.578961875,261,0.419,0.719,0.194
"17-Sep-2000",210982,5,1.307205,0.80042625,NA,NA,NA,NA,NA,0.49,0.694,0.1875
"17-Sep-2000",210983,10,1.32615,0.8051625,NA,NA,NA,NA,NA,0.4435,0.461,0.1535
"17-Sep-2000",210984,20,0.3591,0.6804,NA,NA,NA,NA,NA,0.6135,0.468,0.3045
"17-Sep-2000",210985,30,0.3213,1.0332,NA,NA,NA,NA,NA,0.9365,0.936,0.42
"17-Sep-2000",210986,40,0.1449,0.40635,NA,NA,NA,NA,NA,7.9695,8.182,1.0015
"17-Sep-2000",210987,50,0.126,0.23625,NA,NA,NA,NA,NA,8.5735,8.025,0.956
"17-Sep-2000",210988,60,0.061425,0.21279375,NA,NA,NA,NA,NA,13.501,16.689,1.371
"17-Sep-2000",210989,70,0.117585,0.27948375,NA,NA,NA,NA,NA,14.7065,20.2975,1.494
"17-Sep-2000",210990,80,0.3591,0.420525,NA,NA,NA,NA,NA,15.643,23.901,1.538
"02-Oct-2000",210991,1,1.420875,0.6157125,33.4269225,32.0051025,30.1752225,22.29174,276,0.5085,1.659,0.372
"02-Oct-2000",210992,5,1.40193,0.587295,NA,NA,NA,NA,NA,0.485,1.621,0.3795
"02-Oct-2000",210993,10,1.496655,0.68202,NA,NA,NA,NA,NA,0.449,1.94,0.676
"02-Oct-2000",210994,20,0.4284,0.366975,NA,NA,NA,NA,NA,1.4985,2.552,0.597
"02-Oct-2000",210995,30,0.1701,0.357525,NA,NA,NA,NA,NA,6.0135,8.2955,0.914
"02-Oct-2000",210996,40,0.1575,0.354375,NA,NA,NA,NA,NA,6.9265,9.0445,0.9865
"02-Oct-2000",210997,50,0.1638,0.379575,NA,NA,NA,NA,NA,8.077,9.8085,1.075
"02-Oct-2000",210998,60,0.1134,0.382725,NA,NA,NA,NA,NA,11.1105,13.215,1.217
"02-Oct-2000",210999,70,0.08424,0.22507875,NA,NA,NA,NA,NA,11.944,14.642,1.2945
"02-Oct-2000",211000,80,0.09126,0.34749,NA,NA,NA,NA,NA,15.6085,23.5595,1.57
